[Video]|[en]|ru
options_desc_object_outline_color|The color of outline for enemies and other objects behind structures|Цвет контура врагов и объектов, скрытых за стенами
options_desc_highlight_color|Choose the color for your filter highlighted items on ground and map|Выберите цвет подсветки для предметов, отмеченных фильтром
options_name_lootFilter|Loot Filter|Фильтр добычи
options_name_voteReset|Vote Reset|Голосование за сброс
options_name_loadout01|Skill Loadout 1|Набор умений 1
options_name_loadout02|Skill Loadout 2|Набор умений 2
options_name_loadout03|Skill Loadout 3|Набор умений 3
options_name_loadout04|Skill Loadout 4|Набор умений 4
||
||
[Controls]||
[Keyboard]||
options_kb_use_potion_1|Key bind for using a potion in slot 1|Клавиша для использования зелья в слоте 1
options_kb_use_potion_2|Key bind for using a potion in slot 2|Клавиша для использования зелья в слоте 2
options_kb_use_potion_3|Key bind for using a potion in slot 3|Клавиша для использования зелья в слоте 3
options_kb_use_potion_4|Key bind for using a potion in slot 4|Клавиша для использования зелья в слоте 4
options_kb_use_skill_1|Key bind for using skill 1 if assigned|Клавиша для использования умения 1
options_kb_use_skill_2|Key bind for using skill 2 if assigned|Клавиша для использования умения 2
options_kb_use_skill_3|Key bind for using skill 3 if assigned|Клавиша для использования умения 3
options_kb_use_skill_4|Key bind for using skill 4 if assigned|Клавиша для использования умения 4
options_kb_use_skill_5|Key bind for using skill 5 if assigned|Клавиша для использования умения 5
options_kb_use_skill_6|Key bind for using skill 6 if assigned|Клавиша для использования умения 6
options_kb_use_skill_7|Key bind for using skill 7 if assigned|Клавиша для использования умения 7
options_kb_use_skill_8|Key bind for using skill 8 if assigned|Клавиша для использования умения 8
options_kb_use_skill_9|Key bind for using skill 9 if assigned|Клавиша для использования умения 9
options_kb_use_skill_10|Key bind for using skill 10 if assigned|Клавиша для использования умения 10
options_kb_use_skill_11|Key bind for using skill 11 if assigned|Клавиша для использования умения 11
options_kb_use_skill_12|Key bind for using skill 12 if assigned|Клавиша для использования умения 12
options_kb_move_up|Key bind for moving up|Клавиша для движения вверх
options_kb_move_left|Key bind for moving left|Клавиша для движения влево
options_kb_move_right|Key bind for moving right|Клавиша для движения вправо
options_kb_move_down|Key bind for moving down|Клавиша для движения вниз
options_kb_toggle_minimap|Key bind for toggling Minimap|Клавиша переключения миникарты
options_kb_show_map|Key bind for showing the minimap in the middle of your screen|Клавиша для отображения карты по центру экрана
options_kb_playerlist|Key bind for opening the playerlist|Клавиша открытия списка игроков
options_kb_show_loot_names|Key bind for showing loot names on ground|Клавиша отображения названий добычи на земле
options_kb_weapon_swap|Key bind for swapping weapon / shield slot|Клавиша смены оружия
options_kb_emote_menu|Key bind for Emote menu|Клавиша меню эмоций
options_kb_cast_town_portal|Key bind for casting Town Portal|Клавиша сотворения Городского портала
options_kb_force_stop|Key bind for force stop. You can force stop movement and your left ability attack/cast|Клавиша принудительной остановки
options_kb_force_move|Key bind for force move. You can force movement ignoring your left ability from triggering|Клавиша принудительного движения
options_kb_pickup_use|Key bind for picking up loot and talking to NPC etc|Клавиша взаимодействия (подобрать/говорить)
options_kb_jump|Key bind for Jumping|Клавиша прыжка
options_kb_inventory_mercenary|Key bind for opening mercenary inventory|Клавиша инвентаря наемника
options_kb_guild_tab|Key bind for opening guild menu|Клавиша меню гильдии
options_kb_skill_menu|Key bind for opening skill menu|Клавиша меню умений
options_kb_inventory|Key bind for opening inventory|Клавиша инвентаря
options_kb_chat|Key bind for opening ingame chat|Клавиша чата
options_kb_cutscene_skip|Key bind for skipping cutscenes|Клавиша пропуска катсцен
options_disable_mouse_move|Disable Mouse Movement|Отключить движение мышью
options_kb_ping|Key Bind for pinging on map|Клавиша для сигнала (пинга) на карте
options_kb_loot_filter|Key Bind for opening loot filter|Клавиша открытия фильтра добычи
options_kb_vote_reset|Key Bind for activating vote reset|Клавиша голосования за сброс
options_kb_loadout_1|Key Bind for skill loadout 1|Клавиша набора умений 1
options_kb_loadout_2|Key Bind for skill loadout 2|Клавиша набора умений 2
options_kb_loadout_3|Key Bind for skill loadout 3|Клавиша набора умений 3
options_kb_loadout_4|Key Bind for skill loadout 4|Клавиша набора умений 4
||
[Gamepad]||
options_gp_use_potion_1|Button for using a potion in slot 1|Кнопка использования зелья 1
options_gp_use_potion_2|Button for using a potion in slot 2|Кнопка использования зелья 2
options_gp_use_potion_3|Button for using a potion in slot 3|Кнопка использования зелья 3
options_gp_use_potion_4|Button for using a potion in slot 4|Кнопка использования зелья 4
options_gp_use_skill_1|Button for using skill 1 if assigned|Кнопка использования умения 1
options_gp_use_skill_2|Button for using skill 2 if assigned|Кнопка использования умения 2
options_gp_use_skill_3|Button for using skill 3 if assigned|Кнопка использования умения 3
options_gp_use_skill_4|Button for using skill 4 if assigned|Кнопка использования умения 4
options_gp_use_skill_5|Button for using skill 5 if assigned|Кнопка использования умения 5
options_gp_use_skill_6|Button for using skill 6 if assigned|Кнопка использования умения 6
options_gp_use_skill_7|Button for using skill 7 if assigned|Кнопка использования умения 7
options_gp_use_skill_8|Button for using skill 8 if assigned|Кнопка использования умения 8
options_gp_use_skill_9|Button for using skill 9 if assigned|Кнопка использования умения 9
options_gp_use_skill_10|Button for using skill 10 if assigned|Кнопка использования умения 10
options_gp_use_skill_11|Button for using skill 11 if assigned|Кнопка использования умения 11
options_gp_use_skill_12|Button for using skill 12 if assigned|Кнопка использования умения 12
options_gp_ping|Button for pinging on map|Кнопка для сигнала (пинга) на карте
options_gp_loot_filter|Button for opening loot filter|Кнопка открытия фильтра добычи
options_gp_vote_reset|Button for activating vote reset|Кнопка голосования за сброс
options_gp_toggle_minimap|Button for toggling Minimap|Кнопка переключения миникарты
options_gp_playerlist|Button for opening the playerlist|Кнопка списка игроков
options_gp_show_loot_names|Button for showing loot names on ground|Кнопка отображения названий добычи
options_gp_weapon_swap|Button for swapping weapon / shield slot|Кнопка смены оружия
options_gp_emote_menu|Button for Emote menu|Кнопка меню эмоций
options_gp_cast_town_portal|Button for casting Town Portal|Кнопка Городского портала
options_gp_pickup_use|Button for picking up loot and talking to NPC etc|Кнопка взаимодействия (подобрать/говорить)
options_gp_jump|Button for Jumping|Кнопка прыжка
options_gp_inventory_mercenary|Button for opening mercenary inventory|Кнопка инвентаря наемника
options_gp_guild_tab|Button for opening guild menu|Кнопка меню гильдии
options_gp_skill_menu|Button for opening skill menu|Кнопка меню умений
options_gp_inventory|Button for opening inventory|Кнопка инвентаря
inv_loadout|Equip Swap|Смена экипировки
options_gp_loadout_1|Button for skill loadout 1|Кнопка набора умений 1
options_gp_loadout_2|Button for skill loadout 2|Кнопка набора умений 2
options_gp_loadout_3|Button for skill loadout 3|Кнопка набора умений 3
options_gp_loadout_4|Button for skill loadout 4|Кнопка набора умений 4
||
[Loot Filter Presets]||
loot_filter_preset_nightmare|Intended for playing through the campaign on Nightmare difficulty. At this point you will have several Superior+ items equipped,  and you are starting to look for cheap early game Runewords to craft. Low tier Common, Superior and Rare items are disabled as you are looking at upgrading to B+ items|Предназначен для прохождения кампании на сложности Кошмар. У вас уже есть Превосходные предметы, и вы ищете базы для ранних Рунных слов. Скрывает низкоуровневые Обычные, Превосходные и Редкие предметы, цель — поиск предметов ранга B+
loot_filter_preset_hell_early|Intended for starting Hell 1-3, you just hit 100 and you are starting to farm maps. Low Tier non-Satanics are removed, and you are looking at good Runeword bases to craft sockets on|Предназначен для раннего Ада 1-3. Вы только взяли 100 уровень и начинаете фармить карты. Скрывает слабые не-Сатанические предметы, подсвечивает хорошие базы для Рунных слов
loot_filter_preset_hell_midgame|Intended for Hell 3-5, you are climbing through the Incarnation Tree, and at this point will have fully equipped B+ tier Satanics or S tier Mythics. You are looking for very specific Runeword bases to craft on|Предназначен для Ада 3-5. Вы прокачиваете Древо Воплощения и одеты в Сатанические предметы ранга B+ или Мифические ранга S. Фильтр ищет конкретные базы для Рунных слов
loot_filter_preset_hell_endgame|Intended for Hell 5+ speedfarming. At this point you are only looking for the very best Runeword bases, you also only care about A+ Satanics. You will have full charm slots, and are looking for very specific S tier charms|Предназначен для спидфарма Ада 5+. Вы ищете только лучшие базы для Рунных слов и Сатанические предметы ранга A+. Скрывает лишнее, так как у вас уже заполнены слоты талисманов
loot_filter_preset_hell_endgame_norw|Intended for Hell 5+ speedfarming. You are only looking for A+ tier Satanics and are skipping Runewords|Предназначен для спидфарма Ада 5+. Вы ищете только Сатанические предметы ранга A+ и пропускаете Рунные слова
loot_filter_preset_normal|Intended for playing through the campaign on Normal difficulty. Low tier white items and non Runeword bases, such as Rings and Belts are disabled, everything else is enabled encouraging you to pick up items on the ground as you level|Предназначен для прохождения кампании на Обычной сложности. Скрывает слабые обычные предметы и не подходящие для рунных слов (кольца, пояса), поощряя сбор полезной экипировки при прокачке
loot_filter_title_nightmare|Nightmare|Кошмар
loot_filter_title_hell_early|Early Hell|Ранний Ад
loot_filter_title_hell_midgame|Midgame Hell|Середина Ада
loot_filter_title_hell_endgame|Endgame Hell|Поздний Ад
loot_filter_title_hell_endgame_norw|Endgame Hell, no RW|Поздний Ад (Без рунных слов)
loot_filter_title_normal|Normal|Обычная
||
highlight_filter_physical_attacker|Physical Attacker|Физ. урон (Атака)
highlight_filter_arcane_attacker|Arcane Attacker|Тайная магия (Атака)
highlight_filter_poison_attacker|Poison Attacker|Яд (Атака)
highlight_filter_lightning_attacker|Lightning Attacker|Молния (Атака)
highlight_filter_cold_attacker|Cold Attacker|Холод (Атака)
highlight_filter_fire_attacker|Fire Attacker|Огонь (Атака)
highlight_filter_physical_caster|Physical Caster|Физ. урон (Заклинатель)
highlight_filter_arcane_caster|Arcane Caster|Тайная магия (Заклинатель)
highlight_filter_poison_caster|Poison Caster|Яд (Заклинатель)
highlight_filter_lightning_caster|Lightning Caster|Молния (Заклинатель)
highlight_filter_cold_caster|Cold Caster|Холод (Заклинатель)
highlight_filter_fire_caster|Fire Caster|Огонь (Заклинатель)
highlight_filter_life_stacker|Life Stacker|Упор на Здоровье
highlight_filter_mana_stacker|Mana Stacker|Упор на Ману
highlight_filter_damage_return|Damage Return|Отражение урона
