[Item Stats]|en|ru
stat_attack_rating|to Attack Rating| к рейтингу атаки
stat_life_per_hit|Life stolen per Hit| Здоровье за удар
stat_mana_per_hit|Mana stolen per Hit| Мана за удар
stat_life_per_second|Life per second| Здоровье в секунду
stat_mana_per_second|Mana per second| Мана в секунду
stat_critical_damage|Increased Critical Strike Damage| Повышенный урон критического удара
stat_target_defense|of target Defense ignored| игнорирование защиты цели
stat_open_wounds|Chance to Open Wounds|Шанс вызвать открытые раны
stat_open_wounds_p|Open Wounds Bleed Damage increased by|Урон от кровотечения открытых ран увеличен на
stat_piercing|Piercing Attack| Пронзающая атака
stat_slow_target|Slows target by| Замедляет цель на
stat_monsters_rest_in_peace|Monsters rest in peace after death|Монстры покоятся с миром после смерти
stat_strength|to Strength| к силе
stat_dexterity|to Dexterity| к ловкости
stat_intelligence|to Intelligence| к интеллекту
stat_energy|to Energy| к энергии
stat_armor|to Armor| к броне
stat_vitality|to Vitality| к живучести
stat_strength_p|Increased Strength|Увеличение силы
stat_armor_p|Increased Armor|Укрепление брони
stat_intelligence_p|Increased Intelligence|Увеличение интеллекта
stat_vitality_p|Increased Vitality|Увеличение живучести
stat_dexterity_p|Increased Dexterity|Увеличение ловкости
stat_energy_p|Increased Energy|Увеличение энергии
stat_pointsLeft|Points Left| Осталось очков
stat_all_stats|to All Attributes| ко всем характеристикам
stat_all_stats_p|Increased All Attributes|Все характеристики увеличены
stat_physical_damage|to Physical Damage| к физическому урону
stat_magic_damage|to Additive Arcane Damage| к урону тайной магии
stat_lightning_damage|to Additive Lightning Damage| к урону молнии
stat_fire_damage|to Additive Fire Damage| к урону огня
stat_cold_damage|to Additive Cold Damage| к урону холода
stat_poison_damage|to Additive Poison Damage| к урону яда
stat_spell_magic_damage|to Arcane Skill Damage| к урону умений тайной магии
stat_spell_lightning_damage|to Lightning Skill Damage| к урону умений молнии
stat_spell_fire_damage|to Fire Skill Damage| к урону умений огня
stat_spell_cold_damage|to Cold Skill Damage| к урону умений холода
stat_spell_poison_damage|to Poison Skill Damage| к урону умений яда
stat_spell_elemental_damage|to Magic Skill Damage|к урону магических умений
stat_fire_damage_p|Fire Skill Damage increased by| урон умений огня увеличен на
stat_cold_damage_p|Cold Skill Damage increased by| урон умений холода увеличен на
stat_magic_damage_p|Arcane Skill Damage increased by| урон умений тайной магии увеличен на
stat_poison_damage_p|Poison Skill Damage increased by| урон умений яда увеличен на
stat_lightning_damage_p|Lightning Skill Damage increased by| урон умений молнии увеличен на
stat_physical_damage_p|Attack Damage increased by| урон от атаки увеличен на
stat_projectile_damage_p|Projectile Damage increased by|Урон снарядов увеличен на
stat_orbital_damage_p|Orbital Damage increased by|Урон орбитальных умений увеличен на
stat_explosion_damage|Explosion Damage increased by| урон от взрыва увеличен на
stat_explosion_skills|to Explosion Skills| к умениям взрыва
stat_cold_skills|to Cold Skills|к умениям холода
stat_lightning_skills|to Lightning Skills| к умениям молнии
stat_fire_skills|to Fire Skills| к умениям огня
stat_poison_skills|to Poison Skills|к умениям яда
stat_magic_skills|to Arcane Skills|к умениям тайной магии
stat_physical_skills|to Physical Skills| к физическим умениям
stat_elemental_skills|to Magic Skills| к магическим умениям
stat_ignore_cold_resist|to Enemy Cold Resistance| к сопротивлению холоду противника
stat_ignore_fire_resist|to Enemy Fire Resistance| к сопротивлению огню противника
stat_ignore_poison_resist|to Enemy Poison Resistance| к сопротивлению яду противника
stat_ignore_lightning_resist|to Enemy Lightning Resistance| к сопротивлению молнии противника
stat_ignore_magic_resist|to Enemy Arcane Resistance| к сопротивлению тайной магии противника
stat_ignore_all_resist|to All Enemy Resistances| ко всем сопротивлениям противника
stat_jump_power|Increased Jumping Power| Увеличение силы прыжка
stat_hp_rep|Replenish Life| Восполнение здоровья
stat_mana_rep|Replenish Mana| Восполнение маны
stat_life|to Life| к здоровью
stat_mana|to Mana| к мане
stat_faster_hit_recovery|Faster Hit Recovery|Ускоренное восстановление после удара
stat_defense_vs_missile|Defense vs Missiles|Защита от снарядов
stat_hp_kill|Life After each Kill| Здоровье за убийство
stat_mana_kill|Mana After each Kill| Мана за убийство
stat_max_hp|Life Increased by| Здоровье увеличено на
stat_max_mana|Mana Increased by| Мана увеличена на
stat_light_radius|to Light Radius| к радиусу обзора
stat_damage_return|of Damage Returned to the Attacker| урона возвращается атакующему
stat_damage_taken_mana|of Damage Taken Recouped as Mana| полученного урона восполняется в виде маны
stat_damage_taken_life|of Damage Taken Recouped as Life| полученного урона восполняется в виде здоровья
stat_damage_reduction|Physical Damage Taken Reduced by| Получаемый физический урон уменьшен на
stat_magic_damage_reduction|Magic Damage Taken Reduced by| Получаемый магический урон уменьшен на
stat_all_damage_reduction|All Damage Taken Reduced by| Весь получаемый урон уменьшен на
stat_damage_reduced|Damage Taken Reduced by| Получаемый урон уменьшен на
stat_mana_per_level|to Mana (Based on Level)|к Мане (+0.35 за LvL гг)
stat_life_per_level|to Life (Based on Level)|к Жизни (+0.35 за LvL гг)
stat_defense_per_level|Defense (Based on Level)|к Защите (+0.35 за LvL гг)
stat_magic_find_per_level|Magic Find (Based on Level)|Шанс найти маг. Предмет (+0.35 за LvL гг)
stat_enhanced_defense_per_level|Enhanced Defense (Based on Level)|Улучшенный Защита (+0.35 за LvL гг)
stat_enhanced_damage_per_level|Enhanced Damage (Based on Level)|Улучшенный Урон (+0.35 за LvL гг)
stat_attack_rating_per_level|to Attack Rating (Based on Level)|к Рейтингу Атаки (+0.35 за LvL гг) 
stat_damage_per_level|to Physical Damage (Based on Level)|к Урону (+0.35 за LvL гг)
stat_strength_per_level|to Strength (Based on Level)|к Силе (+0.35 за LvL гг)
stat_dexterity_per_level|to Dexterity (Based on Level)|к Ловкости (+0.35 за LvL гг)
stat_energy_per_level|to Energy (Based on Level)|в Энергию (+0.35 за LvL гг)
stat_intelligence_per_level|to Intelligence (Based on Level)|к Интеллекту (+0.35 за LvL гг) 
stat_armor_per_level|to Armor (Based on Level)|к Броне (+0.35 за LvL гг)
stat_vitality_per_level|to Vitality (Based on Level)|к Живучести (+0.35 за LvL гг)
stat_all_resistance|to All Resistances|ко Всем Сопротивлениям
stat_magic_resistance|to Arcane Resistance|к Сопротивлению Тайной Магии
stat_cold_resistance|to Cold Resistance|к Сопротивлению Холоду
stat_fire_resistance|to Fire Resistance|к Сопротивлению Огню
stat_poison_resistance|to Poison Resistance|к Сопротивлению Яду
stat_lightning_resistance|to Lightning Resistance|к Сопротивлению Молнии
stat_max_all_resistance|to Maximum All Resists|к Всем Макс Сопротивлениям
stat_max_magic_resistance|to Maximum Arcane Resist|к Макс Сопртивлению Тайной Магии
stat_max_fire_resistance|to Maximum Fire Resist|к Макс Сопртивлению Огню
stat_max_cold_resistance|to Maximum Cold Resist|к Макс Сопртивлению Холоду
stat_max_poison_resistance|to Maximum Poison Resist|к Макс Сопртивлению Яду
stat_max_lightning_resistance|to Maximum Lightning Resist|к Макс Сопртивлению Молнии
stat_extra_ruby|Extra Rubies Dropped From Kills| Дополнительные рубины за убийства
stat_extra_gold|Extra Gold Dropped From Kills| Дополнительное золото за убийства
stat_magic_find|Increased Magic Find| Повышенный шанс найти маг. предмет
stat_exp_gain|Increased Experience Gain| Увеличение получаемого опыта
stat_exp_gain_below|Increased Experience Gain Below Level 100| Увеличение опыта до 100 уровня
stat_poison_length_reduced|Poison Length Reduced by| Длительность действия яда уменьшена на
stat_half_freeze_duration|Half Freeze Duration| Время заморозки уменьшено вдвое
stat_cannot_be_frozen|Cannot be Frozen| Невозможно заморозить
stat_fire_absorb|Fire Damage Absorbed| Поглощение урона от огня
stat_cold_absorb|Cold Damage Absorbed| Поглощение урона от холода
stat_lightning_absorb|Lightning Damage Absorbed| Поглощение урона от молнии
stat_poison_absorb|Poison Damage Absorbed| Поглощение урона от яда
stat_magic_absorb|Magic Damage Absorbed| Поглощение урона от тайной магии
stat_belt_slots|Belt Slots|Ячейки пояса
stat_merchant_prices|Decreased Merchant Prices| Снижение цен у торговцев
stat_aoe_attack|Attacks can hit multiple enemies| Атаки поражают нескольких врагов
stat_mana_cost|Mana Costs decreased by| Затраты маны уменьшены на
stat_summon_amount|to Summon Amount| к количеству прислужников
stat_summon_life|Summon Life Increased by| Здоровье прислужников увеличено на
stat_summon_damage_reduction|Reduced damage taken by Summons| Получаемый прислужниками урон уменьшен на
stat_summon_resistances|to Summon Resistances|к сопротивлениям прислужников
stat_sentry_skills|to Sentry Skills| к умениям турелей
stat_sentry_amount|to Sentry Amount|к количеству турелей
stat_sentry_attack_speed|Increased Sentry Attack Speed| Повышенная скорость атаки турелей
stat_sentry_damage|Increased Sentry Damage| Повышенный урон турелей
stat_sentry_duration|Increased Sentry Duration| Повышенная длительность турелей
stat_phys_taken_cold|of Physical Damage taken as Cold| физического урона получается в виде холода
stat_phys_taken_fire|of Physical Damage taken as Fire| физического урона получается в виде огня
stat_phys_taken_magic|of Physical Damage taken as Arcane| физического урона получается в виде тайной магии
stat_phys_taken_lightning|of Physical Damage taken as Lightning| физического урона получается в виде молнии
stat_extraDamageBleeding|Extra Damage to Bleeding Monsters| Дополнительный урон кровоточащим монстрам
stat_extraDamageFrozen|Extra Damage to Deep Frozen Monsters| Дополнительный урон замороженным монстрам
stat_extraDamageStunned|Extra Damage to Stunned Monsters| Дополнительный урон оглушенным монстрам
stat_extraDamageBurning|Extra Damage to Burning Monsters| Дополнительный урон горящим монстрам
stat_extraDamagePoisoned|Extra Damage to Poisoned Monsters| Дополнительный урон отравленным монстрам
stat_extraDamagePlagued|Extra Damage to Plagued Monsters| Дополнительный урон чумным монстрам
stat_extraDamageStasis|Extra Damage to Monsters inflicted with Stasis| Дополнительный урон монстрам под эффектом Стазиса
stat_extraDamageSpellBurn|Extra Damage to Monsters inflicted with Shadowburn| Дополнительный урон монстрам под эффектом Теневого ожога
stat_extraDamageFrostBurn|Extra Damage to Monsters inflicted with Frost Bite| Дополнительный урон монстрам под эффектом Обморожения
stat_extraDamageAilments|Extra Damage to Monsters inflicted with Ailments| Дополнительный урон монстрам под эффектом состояний
stat_copy_slot|Mirrors your other ring| Копирует свойства вашего второго кольца
stat_movement_diminish|Skill Movement Diminish decreased by| Штраф к скорости передвижения от умений уменьшен на
stat_unbreakable|Unbreakable| Неуязвимый
stat_charmslot|Unlocked Charmslot| Ячейка для талисмана разблокирована
||
stat_phasing|Movement Phasing| Прохождение сквозь существ
stat_random_skill|Random Skill Element| Случайная стихия умения
stat_max_value|Maximum Value| Максимальное значение
stat_only_hell5|Usable only on Hell 5 or Inferno difficulty| Можно использовать только на сложности Ад 5 или Пекло
stat_only_inferno|Usable only on Inferno difficulty| Можно использовать только на сложности Пекло
stat_satanic_disabled|Cannot be used while in the target zone| Нельзя использовать в целевой зоне
stat_level|Star Level| Звездный уровень
stat_sub_skills|to Sub Skills|к дополнительным навыкам
stat_flask_mana_replenish|Mana Regenerated Over Time| Мана восстанавливается со временем
stat_flask_mana_replenish_p|Mana Regeneration Increased by| Регенерация маны увеличена на
stat_flask_life_replenish|Life Regenerated Over Time| Здоровье восстанавливается со временем
stat_flask_life_replenish_p|Life Regeneration Increased by| Регенерация здоровья увеличена на
stat_flask_mana_instant|of Mana Regeneration happens instantly| часть регенерации маны происходит мгновенно
stat_flask_life_instant|of Life Regeneration happens instantly| часть регенерации здоровья происходит мгновенно
stat_flask_duration|Faster Regeneration| Ускоренная регенерация
stat_flask_stacks|Maximum Stacks| Максимальное количество зарядов
stat_flask_stacks_kill|Chance to Replenish a Stack after monster kill| Шанс восполнить заряд после убийства монстра
stat_flask_stacks_regen|Stacks regenerated per second| Зарядов восстанавливается в секунду
stat_flask_cooldown|Flask Cooldown| Перезарядка зелья
stat_flask_duration_time|Effect Duration| Длительность эффекта
stat_seconds|Seconds| Секунды
stat_poison_frequency|Poisoned Tick Frequency increased by| Частота тиков яда увеличена на
stat_flask_power|Flask Power| Мощность зелья
stat_octaReflect|of Damage Taken Redirected to Octa| полученного урона перенаправлено в Окту
stat_cdr_damage|Less damage dealt with skills that have a cooldown| Урон умений с перезарядкой уменьшен на
stat_extra_projectile_01|Attacks fire| Атаки выпускают
stat_extra_projectile_02|extra projectiles| дополнительных снаряда
stat_extra_projectile_03|Works with non orbital physical projectiles fired with a ranged weapon.| Работает с неорбитальными физическими снарядами из оружия дальнего боя.
stat_every|Every| Каждый
stat_converted_to|Converted to| Преобразовано в
stat_sub_skills_skill|Sub Skills| Дополнительные умения
stat_chaining_projectile|Projectiles chain| Снаряды рикошетят
stat_times|times| раз
stat_forking_projectile|Projectiles fork on hit| Снаряды разделяются при попадании
stat_intelligence_skill_damage|of Intelligence is converted into Magic Skill Damage|Интеллект преобразуется в урон магических умений
stat_intelligence_lightning|of Intelligence is converted into Lightning Skill Damage|Интеллект преобразуется в урон умений молнии
stat_intelligence_fire|of Intelligence is converted into Fire Skill Damage|Интеллект преобразуется в урон умений огня
stat_intelligence_cold|of Intelligence is converted into Cold Skill Damage|Интеллект преобразуется в урон умений холода
stat_intelligence_arcane|of Intelligence is converted into Arcane Skill Damage|Интеллект преобразуется в урон умений тайной магии
stat_intelligence_poison|of Intelligence is converted into Poison Skill Damage|Интеллект преобразуется в урон умений яда
stat_vitality_attack_damage|of Vitality is converted into Attack Damage|Живучесть преобразуется в урон от атак
stat_vitality_skill_damage|of Vitality is converted into Magic Skill Damage|Живучесть преобразуется в урон магических умений
stat_vitality_lightning|of Vitality is converted into Lightning Skill Damage|Живучесть преобразуется в урон умений молнии
stat_vitality_fire|of Vitality is converted into Fire Skill Damage|Живучесть преобразуется в урон умений огня
stat_vitality_cold|of Vitality is converted into Cold Skill Damage|Живучесть преобразуется в урон умений холода
stat_vitality_arcane|of Vitality is converted into Arcane Skill Damage|Живучесть преобразуется в урон умений тайной магии
stat_vitality_poison|of Vitality is converted into Poison Skill Damage|Живучесть преобразуется в урон умений яда
stat_energy_skill_damage|of Energy is converted into Magic Skill Damage|Энергия преобразуется в урон магических умений
stat_energy_lightning|of Energy is converted into Lightning Skill Damage|Энергия преобразуется в урон умений молнии
stat_energy_fire|of Energy is converted into Fire Skill Damage|Энергия преобразуется в урон умений огня
stat_energy_cold|of Energy is converted into Cold Skill Damage|Энергия преобразуется в урон умений холода
stat_energy_arcane|of Energy is converted into Arcane Skill Damage|Энергия преобразуется в урон умений тайной магии
stat_energy_poison|of Energy is converted into Poison Skill Damage|Энергия преобразуется в урон умений яда
stat_armor_attack_damage|of Armor is converted into Attack Damage|Броня преобразуется в урон от атак
stat_armor_skill_damage|of Armor is converted into Magic Skill Damage|Броня преобразуется в урон магических умений
stat_fcr_movement_speed|of Faster Cast Rate converted into Movement Speed|Скорость сотворения заклинаний преобразуется в скорость передвижения
stat_increased_ailment_damage|Ailment damage increased by|Урон от состояний увеличен на
stat_increased_bleed_damage|Bleed damage increased by|Урон от кровотечения увеличен на
stat_increased_poisoned_damage|Poisoned damage increased by|Урон от отравления увеличен на
stat_increased_stasis_damage|Stasis damage increased by|Урон от стазиса увеличен на
stat_increased_shadow_burn_damage|Shadow Burn damage increased by|Урон от теневого ожога увеличен на
stat_increased_frost_bite_damage|Frost Bite damage increased by|Урон от обморожения увеличен на
stat_increased_burning_damage|Burning damage increased by|Урон от горения увеличен на
stat_ailment_crit_chance|Chance to critically hit with ailments|Шанс критического удара состояниями
stat_ailment_crit_damage|Ailment critical damage increased by|Критический урон состояний увеличен на
stat_guardian_damage|Guardian damage increased by|Урон стражей увеличен на
stat_guardian_burst|Chance for Guardians to perform an additional attack|Шанс стражей провести дополнительную атаку
stat_guardian_attack_speed|Guardian Attack Speed increased by|Скорость атаки стражей увеличена на
stat_guardian_attack_range|Increased Guardian Attack Range|Дальность атаки стражей увеличена на
stat_guardian_duration|Increased Guardian Duration|Длительность стражей увеличена на
stat_projectile_size|Projectile Size increased by|Размер снарядов увеличен на
stat_projectile_direction|Projectiles are fired in random directions|Снаряды выпускаются в случайных направлениях
stat_projectile_return|Projectiles Return to you|Снаряды возвращаются к вам
stat_all_resistances_damage|Every point in resistances increases your damage by|Каждое очко сопротивления увеличивает ваш урон на
||
stat_aura_effectiveness|Increases Aura Effectiveness by |Эффективность ауры увеличена на
stat_crushing_blow_stack|to Maximum Crushing Blow Stacks |к макс. количеству зарядов сокрушительного удара
stat_life_after_block_01|Chance to heal for |Шанс восстановить
stat_life_after_block_02|Life when Blocking |здоровья при блоке
stat_aura_range|Increased Aura Range |Дальность ауры увеличена на
stat_orbit_duration|Increased Orbital Projectile Duration |Длительность орбитальных снарядов увеличена на
stat_orbit_damage_p|Increased Orbital Projectile Damage |Урон орбитальных снарядов увеличен на
stat_aoe_size|Area of Effect Skill Radius Increased by |Радиус умений по области увеличен на
stat_aoe_damage|Area of Effect skill Damage Increased by |Урон умений по области увеличен на
stat_melee_skills|to Melee Skills |к умениям ближнего боя
stat_ranged_skills|to Ranged Skills |к умениям дальнего боя
stat_orbit_skills|to Orbital Skills |к орбитальным умениям
stat_aoe_skills|to Area of Effect Skills |к умениям по области
stat_projectile_skills|to Projectile Skills |к умениям снарядов
stat_self_strike_01|Chance to Inflict |Шанс нанести
stat_self_strike_02|Damage to self when attacking |урона себе при атаке
stat_damage_taken_over_01|of Incoming Damage is taken over |получаемого урона распределяется на
stat_damage_taken_over_02|Seconds |секунд
||
stat_codex_greed|Amount of Gold dropped from monsters increased by| Количество золота из монстров увеличено на
stat_codex_gluttony|Experience Gain increased by| Получаемый опыт увеличен на
stat_codex_envy|Loot Amount increased by| Количество добычи увеличено на
stat_codex_darkness|Increased Dungeon Key drop rates| Шанс выпадения ключей подземелий увеличен
stat_codex_fear|Increased Rune drop rates| Шанс выпадения рун увеличен
stat_codex_delirious|Increased Codex drop rates|Шанс выпадения кодексов увеличен
stat_codex_dwelling|Ancient Monster Pack Size increased by| Размер групп древних монстров увеличен на
stat_codex_treasure|Total Magic Find increased by| Общий шанс найти маг. предметы увеличен на
stat_codex_legion|Chance for Ancients to spawn as Legions| Шанс появления древних в виде легионов
stat_codex_heroic|Increased Amount of Heroic and Angelic drops| Шанс выпадения героических и ангельских предметов увеличен
||
stat_relic_orbit_radius|Orbiting Relic Radius increased by|Радиус орбитальной реликвии увеличен на
stat_relic_orbit_amount|to Orbiting Relic Amount|к количеству орбитальных реликвий
stat_relic_orbit_damage_f|to Orbiting Relic Damage|к урону орбитальной реликвии
stat_relic_orbit_damage_p|Orbiting Relic Damage increased by|Урон орбитальной реликвии увеличен на
stat_relic_orbit_size|to Orbiting Relic size|к размеру орбитальной реликвии
stat_relic_orbit_execute|Orbiting Relics execute monsters below|Орбитальные реликвии казнят монстров с уровнем здоровья ниже
stat_relic_follower_damage_f|to Follower Relic Damage|к урону реликвии прислужника
stat_relic_follower_damage_p|Follower Relic Damage increased by|Урон реликвии прислужника увеличен на
stat_relic_follower_attack_speed|Follower Relic Attack Speed increased by|Скорость атаки реликвии прислужника увеличена на
stat_relic_follower_projectiles|to Follower Relic Projectiles|к снарядам реликвии прислужника
stat_relic_follower_amount|to Follower Relic Amount|к количеству реликвий прислужника
stat_relic_proc_rate|Non-Buff Proc Relic chance increased by|Шанс срабатывания реликвий без усиления увеличен на
stat_relic_proc_effectiveness|to Effectiveness of Non-Buff Proc Relics|к эффективности реликвий без усиления
stat_relic_skill_damage_f|to Skill Relic Damage|к урону реликвии умений
stat_relic_skill_damage_p|Skill Relic Damage increased by|Урон реликвии умений увеличен на
stat_relic_skill_projectiles|to Skill Relic Projectiles|к снарядам реликвии умений
stat_relic_skill_size|Skill Relic Projectile Size increased by|Размер снарядов реликвии умений увеличен на
stat_relic_skill_burst|Additional Casts with Skill Relics|Дополнительные применения реликвий умений
stat_relic_skill_cooldown_dec|Skill relic cooldown increased by|Время перезарядки реликвии умений увеличено на
||
stat_vault_tarot|Random Tarot Cards|Случайные карты Таро
stat_vault_rune|Random Runes|Случайные руны
stat_vault_jewel|Random Jewels|Случайные драгоценности
stat_vault_cleancut_jewel|Random Uncut Jewels|Случайные необработанные драгоценности
stat_vault_gem|Random Gems|Случайные самоцветы
stat_vault_orb|Random Orbs|Случайные сферы
stat_vault_charm|Random Charms|Случайные амулеты
stat_vault_ore|Random Ores|Случайные руды
stat_vault_loot|Random Unique Items|Случайные уникальные предметы
stat_vault_treasure|Random Amount of Gold|Случайное количество золота
stat_vault_material|Random Materials|Случайные материалы
stat_vault_collectible|Random Collectibles|Случайные предметы коллекционирования
stat_vault_key|Random Keys|Случайные ключи
stat_vault_codex|Random Codexes|Случайные кодексы
||
[Global Stats]||
attacks_per_second|Attacks per Second| Атак в секунду
attack_speed|Attack Speed| Скорость атаки
attack_range|Attack Range| Дальность атаки
projectile_speed|Projectile Speed| Скорость снаряда
movement_speed|Movement Speed| Скорость передвижения
strength|Strength| Сила
strength_per_level|Strength per level| Сила за уровень
dexterity|Dexterity| Ловкость
dexterity_per_level|Dexterity per level| Ловкость за уровень
intelligence|Intelligence| Интеллект
intelligence_per_level|Intelligence per level| Интеллект за уровень
energy|Energy| Энергия
energy_per_level|Energy per level| Энергия за уровень
armor|Armor| Броня
armor_per_level|Armor per level| Броня за уровень
vitality|Vitality| Живучесть
vitality_per_level|Vitality per level| Живучесть за уровень
all_stats|All Attributes| Все характеристики
all_talents|All Skills| Все умения
skill_damage|Magic Skill Damage|Урон магических умений
damage|Damage| Урон
attack_rating|Attack Rating| Рейтинг атаки
attack_rating_p|Attack Rating %| Рейтинг атаки %
attack_rating_per_level|Attack Rating per level| Рейтинг атаки за уровень
faster_cast_rate|Faster Cast Rate| Скорость сотворения заклинаний
critical_damage|Critical Strike Damage| Урон критического удара
critical_chance|Chance for Critical Strike| Шанс критического удара
physical_damage|Flat Physical Damage| Физический урон
physical_damage_p|Physical Damage %|Физический урон %
magic_damage|Additive Arcane Damage|Дополнительный Урон от Тайной Магии
lightning_damage|Additive Lightning Damage|Дополнительный Урон от Молнии
fire_damage|Additive Fire Damage|Дополнительный Урон от Огня
cold_damage|Additive Cold Damage|Дополнительный Урон от Холода
poison_damage|Additive Poison Damage|Дополнительный Урон от Яда
magic_damage_increased|Arcane Skill Damage %|Урон умений тайной магии %
lightning_damage_increased|Lightning Skill Damage %|Урон умений молнии %
fire_damage_increased|Fire Skill Damage %|Урон умений огня %
cold_damage_increased|Cold Skill Damage %|Урон умений холода %
poison_damage_increased|Poison Skill Damage %|Урон умений яда %
magic_damage_p|Arcane Skill Damage|Урон от навыков Тайной Магии
lightning_damage_p|Lightning Skill Damage|Урон от навыков Молнии
fire_damage_p|Fire Skill Damage|Урон от навыков Огня
cold_damage_p|Cold Skill Damage|Урон от навыков Холода
poison_damage_p|Poison Skill Damage|Урон от навыков Яда
magic_damage_f|Flat Arcane Skill Damage| Базовый урон умений тайной магии
lightning_damage_f|Flat Lightning Skill Damage| Базовый урон умений молнии
fire_damage_f|Flat Fire Skill Damage| Базовый урон умений огня
cold_damage_f|Flat Cold Skill Damage| Базовый урон умений холода
poison_damage_f|Flat Poison Skill Damage| Базовый урон умений яда
elemental_damage_f|Flat Elemental Skill Damage|Базовый урон стихийных умений
max_hp|Life| Здоровье
max_mana|Mana| Мана
hp_p|Life %| Здоровье %
mana_p|Mana %| Мана %
hp_per_level|Life per level| Здоровье за уровень
mana_per_level|Mana per level| Мана за уровень
hp_per_second|Life per second| Здоровье в секунду
mana_per_second|Mana per second| Мана в секунду
light_radius|Light Radius| Радиус обзора
health_regen|Life Replenish| Восполнение здоровья
mana_regen|Mana Replenish| Восполнение маны
life_per_hit|Life stolen per Hit| Здоровье за удар
mana_per_hit|Mana stolen per Hit| Мана за удар
hp_kill|Life After each Kill| Здоровье за убийство
mana_kill|Mana After each Kill| Мана за убийство
cooldown_reduction|Skill Haste| Скорость восстановления умений
cooldown_reduction_potion|Flask Skill Haste| Скорость восстановления зелья
exp_gain|Increased Experience Gain|Увеличение получаемого опыта
exp_gain_below|Increased Experience Gain Below Level 100|Увеличение получаемого опыта ниже уровня 100
magic_find|Magic Find| Шанс найти маг. предмет
magic_find_per_level|Magic Find per level| Шанс найти маг. предмет за уровень
block_rate|Chance to Block attacks| Шанс блока атак
block_rating|Increased Block Rating| Повышенный рейтинг блока
defense|Defense|Защита
defense_p|Defense %| Защита %
defense_per_level|Defense per level| Защита за уровень
defense_vs_missile|Defense vs Missiles|Защита от снарядов
all_reduction|All Damage Reduction| Снижение всего урона
reduction|Physical Damage Reduction| Снижение физического урона
magic_reduction|Magic Damage Reduction| Снижение магического урона
damage_reduced|Damage Reduced| Урон уменьшен
damage_return|Damage Return| Возврат урона
all_resistance|All Resistances| Все сопротивления
fire_resistance|Fire Resistance| Сопротивление огню
cold_resistance|Cold Resistance|Сопротивление холоду
poison_resistance|Poison Resistance|Сопротивление яду
arcane_resistance|Arcane Resistance|Сопротивление тайной магии
lightning_resistance|Lightning Resistance| Сопротивление молнии
max_magic_resistance|Maximum Arcane Resist| Макс. сопротивление тайной магии
max_fire_resistance|Maximum Fire Resist| Макс. сопротивление огню
max_cold_resistance|Maximum Cold Resist| Макс. сопротивление холоду
max_poison_resistance|Maximum Poison Resist| Макс. сопротивление яду
max_lightning_resistance|Maximum Lightning Resist| Макс. сопротивление молнии
max_all_resistances|Maximum All Resists| Макс. все сопротивления
fire_absorb|Fire Absorption| Поглощение огня
cold_absorb|Cold Absorption| Поглощение холода
lightning_absorb|Lightning Absorption| Поглощение молнии
arcane_absorb|Arcane Absorption| Поглощение тайной магии
poison_absorb|Poison Absorption| Поглощение яда
socketed|Socketed| С гнездами
sockets|Sockets| Гнезда
deadly_blow|Deadly Blow| Смертельный удар
crushing_blow|Crushing Blow| Сокрушительный удар
open_wounds|Open Wounds| Открытые раны
ignore_defense|Ignore Target Defense| Игнорирование защиты цели
