[quest]|en|ru
quest_description_104|Kill Damien the Pumpkin King in Act IV.| Убейте Дэмиена, Короля Тыкв, в четвертом акте.
quest_objective_104_1|Damien the Pumpkin King killed| Убит Дэмиен, Король Тыкв
||
quest_name_110|Lost Skull| Потерянный Череп
quest_description_110|Take this snoring skull back to Town of Inoya and hang it somewhere.| Отвезите этот храпящий череп обратно в город Иноя и повесьте его где-нибудь.
quest_objective_110_1|Skull hanged| Череп повешенный
||
quest_name_111|Hanging Straight| Висит прямо
quest_description_111|Find the skeleton's spine and pelvis from any Ancient Skeleton.| Найдите позвоночник и таз любого древнего скелета.
quest_objective_111_1|Spine found| Найден позвоночник
||
quest_name_112|Main Hand| Основная рука
quest_description_112|Collect the skeleton's right hand from any Ancient Skeleton.|Заберите правую руку скелета у любого древнего скелета.
quest_objective_112_1|Hand found| Найден вручную
||
quest_name_113|Secondary Hand| Вторичная рука
quest_description_113|Collect the skeleton's left hand from any Ancient Skeleton.| Заберите левую руку скелета у любого древнего скелета.
quest_objective_113_1|Hand found| Найден вручную
||
quest_name_114|Footwork| Футворк
quest_description_114|Collect the skeleton's right foot from any Ancient Skeleton.| Возьмите правую ногу скелета из любого древнего скелета.
quest_objective_114_1|Leg found| Нога найдена
||
quest_name_115|Happy Feet| Счастливые ноги
quest_description_115|Collect the skeleton's left foot from any Ancient Skeleton.| Возьмите левую ногу скелета из любого древнего скелета.
quest_objective_115_1|Leg found| Нога найдена
[Halloween dailies]||
quest_name_120|Fill the Pot| Наполни горшок
quest_description_120|Collect ingredients in Act I.| Соберите ингредиенты в Акте I.
quest_objective_120_1|Spider legs| Паучьи ноги
quest_objective_120_2|Maggot's slime| Слизь личинки
quest_objective_120_3|Pumpkin juice| Тыквенный сок
quest_objective_120_4|Rat ears| Крысиные уши
||
quest_name_121|Kill Gurag| Убить Гурага
quest_description_121|Collect Gurag's spirit by using the Soul Box.| Соберите дух Гурага, используя Ящик Души.
quest_objective_121_1|Gurag's spirit| Дух Гурага
||
quest_name_122|Feather party!| Перьевая вечеринка!
quest_description_122|Find chickens in Act II and collect their feathers.| Найдите кур во втором акте и соберите их перья.
quest_objective_122_1|Feathers| Перья
||
quest_name_123|Embarrass Death| Смутить Смерть
quest_description_123|During the fight throw the chicken mask at the Grim Reaper and kill him.| Во время боя бросьте куриную маску в Мрачного Жнеца и убейте его.
quest_objective_123_1|Death embarrassed| Смерть смущенная
||
quest_name_124|Gathering ingredients| Сбор ингредиентов
quest_description_124|Collect the following ingredients in Act III.| Соберите следующие ингредиенты в третьем акте.
quest_objective_124_1|Ghost skulls| Призрачные черепа
quest_objective_124_2|Dust feeder teeth| Зубья пылеуловителя
quest_objective_124_3|Mummy bandages| Мумия бинты
quest_objective_124_4|Spellbook| Книга заклинаний
||
quest_name_125|Anubis' Own Medicine| Собственное лекарство Анубиса
quest_description_125|Curse Anubis with the Cursed Book.| Прокляните Анубиса с помощью Проклятой книги.
quest_objective_125_1|Anubis cursed| Анубис проклял
||
quest_name_126|Suck it!| Отсоси!
quest_description_126|Suck in 30 Damien's heads using the head extractor.| Высосите 30 голов Дэмиена с помощью экстрактора голов.
quest_objective_126_1|Heads extracted| Головы извлечены
||
[XMAS EVENT]||
quest_name_200|Sweet annihilation| Сладкое уничтожение
quest_description_200|Collect candy canes in Act I.| Собирайте леденцы в первом акте.
quest_objective_200_1|Candy canes collected| Собранные леденцы
||
quest_name_201|My Grandma made those!| Их приготовила моя бабушка!
quest_description_201|Retrieve the Christmas stockings from Gurag in Act I.| Заберите рождественские чулки у Гурага в первом акте.
quest_objective_201_1|Christmas stockings retrieved| Рождественские чулки извлечены
||
quest_name_202|Building a Snowman| Слепить снеговика
quest_description_202|Collect snowballs by killing enemies in Act II.| Собирайте снежки, убивая врагов во втором акте.
quest_objective_202_1|Snowballs collected| Снежки собраны
||
quest_name_203|Find my head!| Найди мою голову!
quest_description_203|Retrieve Snowman's head from Grim Reaper in Act II.| Заберите голову Снеговика у Мрачного Жнеца во втором акте.
quest_objective_203_1|Snowman's head retrieved| Голова снеговика найдена.
||
quest_name_204|Snowball fight!| Игра в снежки!
quest_description_204|Use the Snowball relic to cover enemies in snow!| Используйте реликвию «Снежный ком», чтобы покрыть врагов снегом!
quest_objective_204_1|Enemies hit| Враги поражены
||
quest_name_205|It's so dark| Так темно
quest_description_205|Collect Christmas lights in Act III.| Соберите рождественские огни в третьем акте.
quest_objective_205_1|Christmas lights collected| Рождественские огни собраны
||
quest_name_206|This town is missing something...| Этому городу чего-то не хватает...
quest_description_206|Retrieve the Christmas Tree from Anubis in Act III.| Заберите рождественскую елку у Анубиса в третьем акте.
quest_objective_206_1|Christmas tree retrieved| Рождественская елка извлечена
||
quest_name_207|Robin Hood is my idol| Робин Гуд мой кумир
quest_description_207|Use Thief's glove to steal Christmas decorations from enemies.| Используйте перчатку вора, чтобы украсть рождественские украшения у врагов.
quest_objective_207_1|Christmas decoration stolen|Украдено рождественское украшение
||
quest_name_208|Let's bring the Christmas spirit!| Давайте принесем с собой рождественское настроение!
quest_description_208|Retrieve the Christmas star from Damien in Act IV.| Заберите рождественскую звезду у Дэмиена в четвертом акте.
quest_objective_208_1|Christmas star retrieved| Рождественская звезда извлечена
||
quest_name_209|Santa needs help!| Санте нужна помощь!
quest_description_209|Enter North Pole from Danethorpe and help Santa.| Отправляйтесь на Северный полюс из Дэнторпа и помогите Санте.
quest_objective_209_1|North Pole reached| Северный полюс достигнут
quest_objective_209_2|Santa saved| Санта спасён
||
[ANNIVERSARY EVENT]||
quest_name_300|Insert Coin| Вставьте монету
quest_description_300|Retrieve an Ancient Coin from Gurag in Act I.| Заберите древнюю монету у Гурага в Акте I.
quest_objective_300_1|Coin retrieved| Монета извлечена
||
[GATES_OF_VALHALLA]||
quest_name_399|Memory of Mevius| Память о Мевиусе
quest_description_399|Enter the portal to the Memory of Mevius in south east of Inoya| Войдите в портал Памяти Мевиуса на юго-востоке Инои.
quest_objective_399_1|Memory of mevius entered| Память о Мевиусе вошла
||
quest_name_400|Welcome to Valhalla| Добро пожаловать в Вальхаллу
quest_description_400|Reach Plain of Ida in Act 8 Zone 2.| Достигните Равнины Иды в Акте 8, Зоне 2.
quest_objective_400_1|Plain of Ida reached| Достигнута равнина Ида
||
quest_name_401|Valkyrie Hunting| Охота на валькирию
quest_description_401|Get the key to Valhalla from the Valkyrie.| Получите ключ от Вальхаллы от Валькирии.
quest_objective_401_1|Valkyrie found| Валькирия найдена
quest_objective_401_2|Key obtained| Ключ получен
||
quest_name_402|Gates of Valhalla| Врата Валгаллы
quest_description_402|Return to Act 8 Zone 2 and enter Valhalla. | Вернитесь в Акт 8, Зону 2 и войдите в Вальгаллу.
quest_objective_402_1|Valhalla entered| В Вальхаллу вошел
||
quest_name_403|Access Denied| Доступ запрещен
quest_description_403|Find a way forward through the caves.| Найдите путь вперед через пещеры.
quest_objective_403_1|Cave explored| Пещера исследована
||
quest_name_404|Eternal Peace| Вечный Мир
quest_description_404|Help Astrid find her childs Toy Bear in Act 8 Zone 4.| Помогите Астрид найти игрушечного медведя ее ребенка в акте 8, зоне 4.
quest_objective_404_1|Toy found| Игрушка найдена
||
quest_name_405|Purge| Удалять
quest_description_405|Slay the Corrupted Refugees in Act 8 Zone 4.|Убейте зараженных беженцев в Акте 8, Зоне 4.
quest_objective_405_1|Corrupted souls slain| Убитые испорченные души
||
quest_name_406|River Rapids| Речные пороги
quest_description_406|Travel to Helheim through River Gjöll.| Отправляйтесь в Хельхейм через реку Гьёлль.
quest_objective_406_1|Gate of Helheim reached.| Достигнуты врата Хельхейма.
||
quest_name_407|Destiny| Судьба
quest_description_407|Slay Corrupted Odin.| Убейте Оскверненного Одина.
quest_objective_407_1|Odin slain| Один убит
||
quest_name_408|The Awesome Ring - part 1| Удивительное кольцо - часть 1
quest_description_408|Collect lots of braggite.| Соберите много браггита.
quest_objective_408_1|Braggite collected| Браггит собран
||
quest_name_409|Mystery Key| Таинственный ключ
quest_description_409|Find out where the key goes to.| Узнайте, куда идет ключ.
quest_objective_409_1|Find the owner of the key.| Найдите владельца ключа.
||
quest_name_410|The Awesome Ring - part 2| Удивительное кольцо - часть 2
quest_description_410|Collect Essence of the Gods from bosses.| Собирайте Эссенцию Богов с боссов.
quest_objective_410_1|Essence of the Gods collected| Собранная сущность богов
||
quest_name_411|The Awesome Ring - part 3| Удивительное кольцо - часть 3
quest_description_411|Find your desired Awesome Gem.| Найдите желаемый вами потрясающий драгоценный камень.
quest_objective_411_1|Gem collected| Собранный драгоценный камень
||
quest_name_420|Chains of Gold| Цепи из золота
quest_description_420|Mine and transport 20 kg of gold from the fallen chains to safety.| Добудьте и перенесите 20 кг золота из упавших цепей в безопасное место.
quest_objective_420_1|kg gold transported| кг золота перевезено
quest_objective_420_2|Troll patrol slain| Патруль троллей убит
||
quest_name_430|Hungry Haldor| Голодный Хальдор
quest_description_430|Get the meat of a delicious hog.| Получите мясо вкуснейшей свинины.
quest_objective_430_1|Meat collected| Мясо собрано
quest_objective_430_2|Meat cooked| Мясо приготовленное
||
quest_name_431|Hurrdurr’s Rollercoaster| Американские горки Хэррдурра
quest_description_431|Find cart wheels in Forgotten Caves and attach them to Hurrdurr’s cart.| Найдите колеса для телеги в Забытых пещерах и прикрепите их к телеге Хёррдурра.
quest_objective_431_1|Wheels found| Колеса найдены
quest_objective_431_2|Wheels attached| Колеса прикреплены
||
quest_name_432|Balldur Muspelheim|Балдур Муспельхейм
quest_description_432|Do the thing| Сделай дело
quest_objective_432_1|Thing done| Дело сделано
||
quest_name_433|Frøya’s Scale Armor| Чешуйчатая броня Фрёйи
quest_description_433|Collect Naga scales and return them to Frøya in Act 8 Zone 2.| Соберите чешую Наги и верните ее Фрёйе в Зоне 2 Акта 8.
quest_objective_433_1|Scales collected| Весы собраны
||
quest_name_434|Tired Viking| Уставший викинг
quest_description_434|Find potion reagents and conjure it in Act 8 Zone 5.| Найдите реагенты для зелья и создайте его в Зоне 5 Акта 8.
quest_objective_434_1|Doom weed| дурная трава
quest_objective_434_2|Water from Gjöll| Вода из Гьёлля
quest_objective_434_3|Corrupted dirt| Испорченная грязь
quest_objective_434_4|Potion conjured| Зелье, сотворенное
||
quest_name_435|Beacons of Gjöll| Маяки Гьёлля
quest_description_435|Ignite the four beacons to open the gate to the tunnel.| Зажгите четыре маяка, чтобы открыть ворота в туннель.
quest_objective_435_1|Ignite Northwest beacon| Зажгите северо-западный маяк
quest_objective_435_2|Ignite Northeast beacon| Зажгите северо-восточный маяк
quest_objective_435_3|Ignite Southwest beacon| Зажгите юго-западный маяк
quest_objective_435_4|Ignite Southeast beacon| Зажгите юго-восточный маяк
quest_objective_435_5|Travel through the tunnel| Путешествие через туннель
quest_objective_435_6|Explore Island| Исследуйте остров
quest_objective_435_7|Slay Jormungandr| Убей Ёрмунганда
||
||
||
||
[Valhalla dailies]||
quest_name_440|River Raider| Речной рейдер
quest_description_440|Complete River Gjöll.| Полная река Гьёлль.
quest_objective_440_1|Jörmungar slain| Ёрмунгар убит
quest_dialog_440|Gjallarknut here! Remember me? We had an epic adventure on river Gjöll and gave that big snake a good whoop! But alas, it's back eating my customers! I'll reward you if you're up for another whooping.| Гьялларкнут слушает! Помните меня? У нас было эпическое приключение на реке Гьёлль, и мы устроили этой большой змее хорошую трепку! Но, увы.
||
quest_name_441|The Golden Heist | Золотое ограбление
quest_description_441|Find and use a glowing rock to find and collect the Golden Warrior statue from Gladsheim.| Найдите и используйте светящийся камень, чтобы найти и забрать статую Золотого Воина из Гладсхейма.
quest_objective_441_1|Statue collected| Статуя собрана
quest_dialog_441|I know this is no job for a hero, but to be one you sometimes need to take a dip to the dark side. [c_yellow]Inside the walls of Gladsheim Halls[c_reset] is hidden a precious little statue, the Golden Warrior portraying the Leader of Valkyries. I wa... WE need it, for uhm.. MUSEUM! Yes, a museum of.. statues... Anyway, we pay a handsome amount of gold for it. There are special [c_yellow]glowing stones[c_reset] inside the halls. Its illumination might help you find the statue...| Я знаю, что это работа не для героя.
||
quest_name_442|Naga Treasury | Сокровищница Нага
quest_description_442|Retrieve the Golden Snake amulet from Naga Temple.| Добудьте амулет Золотой Змеи из Храма Наг.
quest_objective_442_1|Amulet found| Амулет найден
quest_objective_442_2|Temple escaped| Храм сбежал
quest_dialog_442|Rumor has it that the Naga Temple holds the greatest treasury in Valhalla. It is also said to be the home of the Golden Snake amulet. Find it, and bring it here for my collection. Beware: Nagas are known to be sneaky and mischievous, your way back might not be as easy as you think. | Ходят слухи, что Храм Нага хранит величайшую сокровищницу в Вальхалле. Также говорят, что это дом амулета Золотой Змеи. Найти его
||
quest_name_443|The Crown of Surtr | Корона Сурта
quest_description_443|Remove Surtr's crown in Muspelheim.| Снимите корону Сурта в Муспельхейме.
quest_objective_443_1|Crown removed| Корона удалена
quest_dialog_443|In the realm of fire and lava stands Surtr, forever chained to his realm. For eons he has been dormant, turned into obsidian statue that merely displays a fraction of his burning soul. But something is happening, signs indicate he's waking up. We need a hero who could pull of the impossible: get Surtr's crown off of him, it's the source of his power. Good luck to the brave soul who might attempt this. | В царстве огня и лавы стоит Сурт
||
quest_name_444|Grim Skull | Мрачный Череп
quest_description_444|Find the mystical skull in Niflhel.| Найдите мистический череп в Нифльхеле.
quest_objective_444_1|Skull collected| Череп собран
quest_dialog_444|There is an old tale of a great and respected warrior who lost his life and was sent to Niflhel to rot. His skull is rumored to be somewhere in there collected by the legendary beast Grimbone and it’s said to hold some mystical powers. Find the skull and return it here, perhaps we would find some use for it. | Есть старая история о великом и уважаемом воине, который потерял свою жизнь и был отправлен гнить в Нифльхель. Ходят слухи, что его череп где-то там, собранный легендарным зверем Гримбоуном, и говорят, что он обладает какой-то мистической силой. Найдите череп и верните его сюда
||
quest_name_445|WANTED: Xor| ТРЕБУЕТСЯ: Ксор
quest_description_445|Use Pulser to find Xor in Event Horizon and kill him.| С помощью пульсатора найдите Ксора в Горизонте событий и убейте его.
quest_objective_445_1|Xor dead| Ксор мертв
quest_dialog_445|WANTED: XOR. An inter dimensional mercenary called Xor is wanted dead! A recent sighting has confirmed that he is indeed hiding somewhere in the Event Horizon. Take the Pulser, use it to find him and kill him.| РАЗЫСКИВАЕТСЯ: КСОР. Межпространственный наемник по имени Ксор разыскивается мертвым! Недавнее наблюдение подтвердило, что он действительно скрывается где-то в Горизонте Событий. Возьмите Пульсар
||
quest_name_446|Anita’s Amulet|Амулет Аниты
quest_description_446|Find Anita’s amulet in the Sea of Karponia| Найдите амулет Аниты в море Карпонии.
quest_objective_446_1|Amulet found| Амулет найден
quest_dialog_446|Hey there, stranger! I am Anita, from Danethrope. I was on a visit in the east, Shujo Retreat, and when swimming in the ocean I got attacked by a bunch of Piranhas. When I swam to safety one of those pesky little fishes grabbed and possibly ate my Amulet. It is really important to me. I will pay you handsomely if you can find it!| Привет
||
quest_name_447|Awful Abominations| Ужасные мерзости
quest_description_447|Clear Abomination events| Очистить события Мерзость
quest_objective_447_1|Colossal chests opened| Открыты колоссальные сундуки
quest_dialog_447|Gar Nor here! I need a strong and heroic adventurer to put a stop to those colossal monsters! If you are up for it I will give you an additional reward on top of whatever you find when searching and slaying these foul creatures!| Гар Нор здесь! Мне нужен сильный и героический искатель приключений, чтобы остановить этих колоссальных монстров! Если вы готовы, я дам вам дополнительную награду сверх того, что вы найдете, когда будете искать и убивать этих мерзких тварей!
||
quest_name_448|To The Tower!| В Башню!
quest_description_448|Clear a Chaos Tower| Очистите Башню Хаоса
quest_objective_448_1|Chaos Tower cleared| Башня Хаоса очищена.
quest_dialog_448|Um here! Please, any Hero in Tarethiel reading this. I need [c_yellow]YOUR[c_reset] help. At some point, these walking Towers emerged from the Chaos to cause havoc in Tarethiel. Me and Mayor Kukkonen tried to find a way to destroy one, but got sucked into it and I barely got out alive. Kukkonen is still in there! Help me cleanse these Chaos Towers once and for all!| Эм, вот! Пожалуйста.
||
quest_name_449|Njal Must Die!| Ньял должен умереть!
quest_description_449|Find and Kill Njal in the Snowy Mountains| Найдите и убейте Ньяла в Снежных горах
quest_objective_449_1|Njal slain| Ньял убит
quest_objective_449_2|Njal’s head| Голова Ньяла
quest_dialog_449|An evil warrior named Njal has been a continuous threat to the people of Danethrope. He has been spotted in the Snowy Mountains just now. Please find him and kill him! Bring his head as proof for the bounty.| Злой воин по имени Ньял был постоянной угрозой для людей Дантропа. Его только что заметили в Снежных горах. Пожалуйста, найдите его и убейте! Принесите его голову в качестве доказательства награды.
||
quest_name_450|Security Measures| Меры безопасности
quest_description_450|Repair a beacon in each act and activate the system in Dhorn Farum| Почините маяк в каждом акте и активируйте систему в Дорн Фаруме.
quest_objective_450_1|The Pumpkin Patch beacon repaired| Маяк Pumpkin Patch отремонтирован
quest_objective_450_2|The Glacial Trail beacon repaired| Маяк на ледниковой тропе отремонтирован
quest_objective_450_3|Dry Hills beacon repaired|Маяк Драй-Хиллс отремонтирован
quest_objective_450_4|The Devil's Breach beacon repaired| Маяк Дьявольского прорыва отремонтирован
quest_objective_450_5|Mt. Fuji beacon repaired| Маяк на горе Фудзи отремонтирован
quest_objective_450_6|Highland Graveyard beacon repaired| Маяк на кладбище Хайленд отремонтирован
quest_objective_450_7|Parallel Dimension beacon repaired| Маяк Parallel Dimension отремонтирован
quest_objective_450_8|Security system re-activated| Система безопасности повторно активирована
quest_dialog_450|Um here! The dwarven made security beacons which help us anticipate upcoming threats all over Tarethiel are in desperate need of repair. Please do the repairs and turn the system back on in Dhorn Farum!| Эм, здесь! Охранные маяки, сделанные гномами и помогающие нам предвидеть предстоящие угрозы по всему Таретиэлю, отчаянно нуждаются в ремонте. Пожалуйста, сделайте ремонт и включите систему снова в Дорне Фаруме!
||
quest_name_451|Hellpiercer| Пронзатель ада
quest_description_451|Collect the explosives from Old Mining Village, get the detonator from Dr. Tinker Dink and sabotage the Steam Train| Соберите взрывчатку в старой шахтерской деревне.
quest_objective_451_1|Explosives collected| Взрывчатые вещества собраны
quest_objective_451_2|Detonator acquired| Детонатор приобретен
quest_objective_451_3|Explosives placed| Взрывчатые вещества заложены
quest_objective_451_4|Explosives detonated| Взрывчатка сдетонировала
quest_dialog_451|Help wanted! This is Dr. Tinker Dink. The Steam Train has become a problem, transporting hellish creatures and resources for the evil forces of Tarethiel at an unprecedented rate. We need to sabotage the train to stop it or at least slow it down! Collect five sets of explosives from the Old Mining Village and meet me! I'll give you the detonator. Then go to the Steam Train and blow the sucker to a halt! I hope to talk to you soon, adventurer!| Требуется помощь! Это доктор Тинкер Динк. Паровоз стал проблемой
tinker_hellpiercer_dialog|Ah, nice to see you [heroname]! So you are the one who wants to help me? Great! Here is the detonator. It has an 8 second timer, so when you place it and turn it on, [shake_letter]RUN![shake_reset] Good luck!| Ааа
quest_train_bomb_run|I would [shake_letter][c_red]RUN[c_reset][shake_reset] if I were you!| Если бы я был тобой, я бы [shake_letter][c_red]БЕЖАЛ[c_reset][shake_reset]!
||
quest_name_452|The False Prophet Defenestration| Дефенестрация лжепророка
quest_description_452|Talk to Magister Kujala and complete his task.| Поговорите с магистром Куялой и выполните его задание.
quest_objective_452_1|The true nature of the assignment discovered| Раскрыта истинная природа задания
quest_objective_452_2|Luthor thrown out of Cathedral window| Лютор выбросился из окна собора
quest_dialog_452|Looking for a righteous adventurer ready to help me with an urgent issue. I rather not write here about the nature of this task. Should you be interested come talk to me directly for further instructions![nl]- Magister Kujala|Ищу праведного искателя приключений, готового помочь мне с неотложной проблемой. Я бы предпочел не писать здесь о сути этой задачи. Если вам интересно, обращайтесь ко мне напрямую за дальнейшими инструкциями![nl]- Magister Kujala
||
||
quest_name_475|Mysterious Key| Таинственный Ключ
quest_description_475|Use the key somewhere in Dhorn Farum| Используйте ключ где-нибудь в Дорн Фаруме.
quest_objective_475_1|Keyhole found| Замочная скважина найдена
||
quest_name_476|The Book of Soulforge – page 11| Книга Соулфорджа – страница 11
quest_description_476|Slay Gurag and find the page 11 of the Book of Soulforge.| Убейте Гурага и найдите страницу 11 Книги Душеплавания.
quest_objective_476_1|Book of Soulforge page collected| Страница книги Soulforge собрана
||
quest_name_477|The Book of Soulforge – page 12| Книга Соулфорджа – страница 12
quest_description_477|Defeat Reaper and find the page 12 of the Book of Soulforge.| Победите Жнеца и найдите страницу 12 Книги Душеплавания.
quest_objective_477_1|Book of Soulforge page collected| Страница книги Soulforge собрана
||
quest_name_478|The Book of Soulforge – page 13| Книга Соулфорджа – страница 13
quest_description_478|Find and help Hurnir inside the Pyramid and retrieve the missing page.| Найдите и помогите Хурниру внутри Пирамиды вернуть пропавшую страницу.
quest_objective_478_1|Find and help Hurnir| Найдите и помогите Хурниру
quest_objective_478_2|Defeat Anubis and collect page 13| Победите Анубиса и соберите страницу 13.
||
||
||
||
quest_name_479|The Book of Soulforge – page 14| Книга Соулфорджа – страница 14
quest_description_479|Find page 14 in The Altar of Lost Souls.| Найдите страницу 14 в «Алтаре потерянных душ».
quest_objective_479_1|Book of Soulforge page collected| Страница книги Soulforge собрана
||
quest_name_480|The Book of Soulforge – page 15| Книга Соулфорджа – страница 15
quest_description_480|Gut King Karp at the Emperor's Chamber and collect the page 15.| Выпотрошите короля Карпа в Императорской палате и заберите страницу 15.
quest_objective_480_1|Book of Soulforge page collected| Страница книги Soulforge собрана
||
quest_name_481|The Book of Soulforge – page 16| Книга Соулфорджа – страница 16
quest_description_481|Defeat Satan in the Seventh Layer of Hell and collect the last page of the Book of Soulforge.|Победите Сатану на седьмом уровне ада и заберите последнюю страницу Книги Душеплавания.
quest_objective_481_1|Book of Soulforge page collected| Страница книги Soulforge собрана
||
quest_name_482|Essential Essence| Эссенция Эссенции
quest_description_482|Obtain Soul Essence by slaying creatures and monsters.| Получайте Эссенцию Души, убивая существ и монстров.
quest_objective_482_1|Soul essence collected| Эссенция души собрана
||
quest_name_483|Seething Souls| Бурлящие души
quest_description_483|Obtain Souls of fallen warriors from piles.| Соберите души павших воинов из куч.
quest_objective_483_1|Warrior souls| Души воинов
||
[HS 2.0 ACT SIDEQUESTS]||
||
quest_name_500|Pest Control| Борьба с вредителями
quest_description_500|Find and kill Fragrat in Rat Den| Найдите и убейте Фраграта в Крысином логове.
quest_objective_500_1|Fragrat slain| Фраграт убит
||
||
quest_name_501|Hunger Issue| Проблема голода
quest_description_501|Collect ingredients to the maggot stew and cook it| Соберите ингредиенты для рагу из личинок и приготовьте его.
quest_objective_501_1|Maggots collected| Собранные личинки
quest_objective_501_2|Crimson Pumpkins harvested| Собран урожай малиновых тыкв
quest_objective_501_3|Maggot stew cooked| Тушеная личинка приготовлена
||
quest_name_502|Murder of Crows| Убийство Воронов
quest_description_502|Head into the Black Tower and bring Ahriman the head of Commander Albert, then head to the Northern Post and find his spellbook.| Отправляйтесь в Черную Башню и принесите Ариману голову Командира Альберта.
quest_objective_502_1|Spellbook found| Найдена книга заклинаний
quest_objective_502_2|Commander Albert's Head| Голова Командира Альберта
||
quest_name_503|Help Anita| Помогите Аните
quest_description_503|Collect ginseng plants| Собирайте растения женьшеня.
quest_objective_503_1|Ginseng collected| Женьшень собран
||
quest_name_504|Lost Belongins| Потерянные вещи
quest_description_504|Find Anita's Herbs| Найдите травы Аниты
quest_objective_504_1|Herb Pouch| Мешочек с травами
quest_objective_504_2|Frost Dill| Морозный укроп
quest_objective_504_3|Loska| Лоска
quest_objective_504_4|Vermroot| Вермрут
quest_objective_504_5|Fanglen| Фанглен
||
quest_name_505|The Revenant| Ревенант
quest_description_505|Track and kill Carnage at the Glacial Trail| Выследите и убейте Карнажа на Ледниковой тропе
quest_objective_505_1|Track Carnage| Трек Карнаж
quest_objective_505_2|Kill Carnage| Убить Карнажа
quest_objective_505_3|Skin Carnage's hide|Шкура Карнажа
||
