[main_menu]|en|ru
initial_migration_prompt|We have scaled up the [c_yellow]PanicNet network[c_reset] to bring you a smoother and more stable online experience.[nl]Your data is currently stored in [c_aqua]Europe[c_reset].[nl]We are offering you one [c_yellow]free migration[c_reset] in case you want to change server to a closer location.[nl][c_lime]Leaderboards, Marketplace and Multiplayer are shared across all regions.[c_reset][nl][nl]Choose a region closest to you:|Мы расширили [c_yellow]сеть PanicNet[c_reset], чтобы сделать игровой процесс более плавным и стабильным.[nl]Ваши данные хранятся в регионе [c_aqua]Европа[c_reset].[nl]Мы предлагаем вам один [c_yellow]бесплатный перенос[c_reset], если вы захотите выбрать сервер поближе к вам.[nl][c_lime]Таблицы лидеров, рынок и сетевая игра общие для всех регионов.[c_reset][nl][nl]Выберите ближайший к вам регион:
beta_migration_prompt|We have scaled up the [c_yellow]PanicNet network[c_reset] to bring you a smoother and more stable online experience.[nl][nl]Your data is currently stored in [c_aqua][var,regionName][c_reset].[nl][nl][c_pink]During Open Beta we encourage you to try migrating your account and data to another region.[c_reset][nl][nl][c_lime]Leaderboards, Marketplace and Multiplayer are shared across all regions.[c_reset][nl][nl]Choose a region to migrate to:|Мы расширили [c_yellow]сеть PanicNet[c_reset], чтобы сделать игру в сети более стабильной.[nl][nl]Ваши данные хранятся в регионе [c_aqua][var,regionName][c_reset].[nl][nl][c_pink]Во время открытой беты мы рекомендуем попробовать перенос данных вашей учетной записи в другой регион.[c_reset][nl][nl][c_lime]Таблицы лидеров, рынок и сетевая игра общие для всех регионов.[c_reset][nl][nl]Выберите регион для переноса:
stay_on_europe|Stay on Europe|Остаться в Европе
login_region|Login Region|Регион входа
server_region|Server Region|Регион сервера
chat_region|Chat Region|Регион чата
decay_in|Decay in: |До исчезновения: 
decay_days| Days.| дн.
requires_level|Requires Level|Необходимый уровень
has_been_created|has been created!|создано!
guild_create_failed|Guild creation failed.|Не удалось создать гильдию.
guild_name_taken|Guild name has already been taken.|Это название гильдии уже занято.
guild_tag_taken|Guild tag has already been taken.|Этот тег гильдии уже занят.
guild_tag_changed|Guild tag has been changed!|Тег гильдии изменен!
guild_tag_failed|Guild tag change failed…|Не удалось изменить тег гильдии…
guild_delete|Are you sure you want to delete the Guild?|Вы уверены, что хотите распустить гильдию?
guild_send_invite|Send Guild Invite|Пригласить в гильдию
connection_failed|Connection failed.|Ошибка подключения.
message_invite_error|Is not available. Please check that your season and hardcore status match.|Недоступно. Убедитесь, что ваш сезон и статус героического режима (Hardcore) совпадают.
difficulty_not_unlocked|Difficulty not unlocked!|Сложность еще не открыта!
hold_button|Hold|Удерживайте
to_skip|to skip|чтобы пропустить
just_found|Just found|только что нашел
in_beta|in BETA|в БЕТА-версии
items_claimed|Items claimed|Предметы получены
south_pole|Welcome to the South Pole! This place is too cold even for monsters, but not for penguins! Find the talking penguin to proceed!|Добро пожаловать на Южный полюс! Здесь слишком холодно даже для монстров, но не для пингвинов. Разыщите говорящего пингвина, чтобы продолжить путь!
market_limit|Market buy limit reached. Please wait before buying more!|Лимит покупок на рынке исчерпан. Пожалуйста, подождите, прежде чем покупать что-то еще.
xmas_ice_warning|[shake_letter][c_red]BEWARE OF THE WEAK ICE![shake_reset]|[shake_letter][c_red]ОСТЕРЕГАЙТЕСЬ ХРУПКОГО ЛЬДА![shake_reset]
buy_item_confirm|Are you sure you want to buy?|вы уверены, что хотите совершить покупку?
inventory_main|Main|Основной
inventory_extra|Extra|Дополнительный
discord_official|Official Discord|Официальный Discord
bind_hint|Hint: You can bind multiple skills by hovering a skill and pressing a skill bind button (these can be found in the options)|Подсказка: вы можете назначить навык на клавишу, наведя на него курсор и нажав нужную кнопку (настраивается в параметрах).
server_level_req|Minimum Player Level|Мин. уровень игрока
server_steam_friend_password|Steam friends can join without password|Друзья из Steam могут войти без пароля
steam_invite_character_not_compatible|This character is not compatible with the game invite. Do you want to dismiss the invite?|Этот персонаж не подходит для данной игры. Хотите отклонить приглашение?
steam_invite_ingame_exit|Do you want to exit current session to join game invite?|Выйти из текущей сессии, чтобы принять приглашение?
augments|Augments|Улучшения
unspent_attribute|Attribute Points|Очки характеристик
unspent_skill|Skill Points|Очки навыков
specialization_title|Skill Specialization|Специализация умений
specialization_description|Specialize, boost and change how this skill works!|Развивайте, усиливайте и меняйте принципы работы этого умения!
specialization_desc_short|Choose a skill to specialize in, boosting its strength!|Выберите умение для специализации, чтобы увеличить его мощь!
speciality|Speciality|Специализация
exit|Exit|Выйти
assign_skill|Assign Skill Bind|Назначить клавишу умения
hero_talent_board|Hero Skills|Навыки героя
mercenary_skills|Mercenary Skills|Навыки наемника
unlock_tower_chest|Unlocked in Inferno|Открывается на сложности «Инферно»
next_quest|Next Quest|Следующее задание
convert_odyssey_to_normal|Convert to Normal|Сделать обычным персонажем
convert_odyssey_to_normal_confirm|Are you sure you want to convert your Odyssey character to a normal character?|вы уверены, что хотите превратить персонажа Odyssey в обычного?
dont_save|Don´t Save|Не сохранять
dungeon_glyph_chance|Glyph Drop Chance|Шанс выпадения глифов
dungeon_incarnation_experience|Essence of Incarnation gain|Прирост эссенции Воплощения
dungeon_reward_magic_find|Reward chest magic find|Вероятность ценной добычи из сундука
dungeon_monster_life|Monster life scaling|Множитель здоровья монстров
dungeon_monster_damage|Monster damage scaling|Множитель урона монстров
incarnation_altar|Altar of Incarnation|Алтарь Воплощения
creation_no_skill|No Chosen Skill|Навык не выбран
creation_hover_skill|Hover the skills on the left to show descriptions!|Наведите на навыки слева, чтобы увидеть их описание!
inventory_tab_buy_prompt|Would you like to purchase an extra inventory tab?|Хотите приобрести дополнительную вкладку инвентаря?
get_more_character_slots|Get More Slots|Купить слоты
manage_subscription|Manage Subscription|Управление подпиской
clear_active_sessions|Clear active sessions|Завершить активные сеансы
charms|Charms|Талисманы (Чары)
iap_max_amount|You already have the maximum amount of this product.|У вас уже есть максимальное количество этого товара.
iap_disabled|In Application Purchases have been disabled.|Внутриигровые покупки отключены.
continue_unlinked|Continue unlinked|Продолжить без привязки
go_to_checkout|Go To Checkout|Перейти к оплате
||
[options]||
video|Video|Видео
audio|Audio|Аудио
controls|Controls|Управление
redeem_code|Redeem code|Активировать код
back|Back|Назад
display_mode|Display Mode|Режим отображения
fullscreen|Fullscreen|Полноэкранный
windowed|Windowed|Оконный
windowed_fullscreen|Windowed fullscreen|Полноэкранное окно
window_size|Window Size|Размер окна
aspect_ratio|Aspect Ratio|Соотношение сторон
size|Size|Размер
graphics|Graphics|Графика
high|High|Высокое
medium|Medium|Среднее
low|Low|Низкое
on|On|Вкл.
off|Off|Выкл.
shaking|Screen Shake|Дрожание экрана
show_damage|Show Damage|Отображать урон
music|Music|Музыка
master_volume|Master volume|Общая громкость
music_volume|Music volume|Громкость музыки
ambient_volume|Ambient volume|Звуки окружения
sound_volume|Sound volume|Звуковые эффекты
loot_volume|Loot volume|Звук выпад. добычи
voice_acting_volume|Voice acting volume|Громкость озвучки
vibration|Vibration|Вибрация
voice_acting|Voice acting|Озвучка
defaults|Defaults|Сбросить настройки
default|Default|По умолчанию
show_player_name|Show Player Name|Показать имя игрока
show_player_health|Show Player Health|Показать здоровье игрока
show_enemy_health|Always Show Enemy Health|Всегда показывать здоровье врагов
show_player_projectiles|Show Teammate Projectiles|Показывать эффекты снарядов союзников
show_loot_names|Show Loot Names|Показывать названия добычи
show_gamepad_crosshair|Show Controller Crosshair|Показать перекрестие геймпада
show_crosshair|Show Crosshair|Показать перекрестие
color_ability_damage|Ability Damage Color|Цвет урона умений
color_basic_damage|Basic Damage Color|Цвет базового урона
color_crit_damage|Critical Damage Color|Цвет крит. урона
color_heal|Heal Color|Цвет исцеления
color_outline|Outline Color|Цвет контура
color_minimap|Minimap Color|Цвет миникарты
size_ability_damage|Ability Damage Size|Размер текста урона умений
size_basic_damage|Basic Damage Size|Размер текста базового урона
size_crit_damage|Critical Damage Size|Размер текста крит. урона
size_heal|Heal Size|Размер текста исцеления
shaders_enabled|Shaders Enabled|Использовать шейдеры
gameplay|Gameplay|Игровой процесс
auto_pickup|Auto Pickup|Автоподбор
auto_attack|Auto Attack|Автоатака
hold_to_cast|Hold to cast|Применение удержанием
file|file|файл
save_recovered|Save successfully recovered!|Сохранение успешно восстановлено!
crystals_added|crystals added!|добавлены кристаллы!
delete_highscore|This will also delete wormhole highscores associated with this character!|Это также удалит рекорды червоточин, связанные с этим персонажем!
choose|Choose|Выбрать
move_up|Move up|Движение вверх
move_down|Move down|Движение вниз
move_left|Move left|Движение влево
move_right|Move right|Движение вправо
attack_up|Attack up|Атака вверх
attack_down|Attack down|Атака вниз
attack_left|Attack left|Атака влево
attack_right|Attack right|Атака вправо
use_potion|Use potion|Использовать зелье
use_item|Use item|Использовать предмет
talents|Skill Menu|Меню навыков
skill|Skill|Навык
pickup_use|Pickup / Use|Поднять / Использовать
minimap|Minimap|Миникарта
show_map|Show Map|Показать карту
playerlist|Playerlist|Список игроков
ingame_chat|Ingame chat|Внутриигровой чат
inventory_controls|Inventory controls|Управление инвентарем
reset_controls|Reset controls to default values?|Сбросить управление до настроек по умолчанию?
mouse_move|Mouse Move|Движение мышью
mouse_attack|Mouse Attack|Атака мышью
mouse_stand_still|Stand Still|Стоять на месте
mouse_force_move|Force Move|Принудительное движение
waiting_for_input|Waiting for input...|Ожидание ввода...
right_mouse|Right mouse|ПКМ
right_analog|Right Stick|Правый стик
left_analog|Left Stick|Левый стик
jump|Jump|Прыжок
open_waypoint|Open Waypoint|Открыть путевую точку
activate_waypoint|Activate Waypoint|Активировать путевую точку
refresh_rate|Framerate|Частота кадров
vote_reset|Vote Reset|Обновить локацию
drowning|Drowning|Утопление
falling|Falling|Падение
minimap_scale|Minimap Scale|Масштаб миникарты
minimap_alpha|Minimap Opacity|Прозрачность миникарты
talent_scale|Talent Scale|Масштаб меню талантов
weather_intensity|Weather Intensity|Интенсивность погоды
darkness_intensity|Darkness Intensity|Насыщенность тьмы
combat_text|Combat Text|Боевой текст
combat_text_frequency|Combat Text Frequency|Частота боевого текста
crosshair_distance|Crosshair Distance|Расстояние перекрестия
color_blind_mode|Color Blind Mode|Режим для дальтоников
enable|Enable|Включить
skillbar_position|Skillbar position|Позиция панели навыков
button_plus|+ Button|Кнопка +
button_minus|- Button|Кнопка -
button_up|Up Button|Кнопка «Вверх»
button_down|Down Button|Кнопка «Вниз»
button_left|Left Button|Кнопка «Влево»
button_right|Right Button|Кнопка «Вправо»
button_left_stick_press|Press the L Stick|Нажатие L-стика
button_right_stick_press|Press the R Stick|Нажатие R-стика
button_stick|Stick|Стик
undefined|Undefined|Не назначено
steam_inventory|Steam Inventory|Инвентарь Steam
chat_settings|Chat Settings|Настройки чата
chat_background_alpha|Background alpha|Прозрачность фона чата
chat_fade_seconds|Seconds to fade|Время до затухания (сек.)
chat_notifications|Chat notifications|Уведомления чата
chat_enable|Enable General Chat|Включить общий чат
chat_disabled|General chat has been disabled in options|Общий чат отключен в настройках
mute|Mute|Заглушить
relic_confirmation|Relic Confirmation|Подтверждение для реликвий
monster_level_prompt|High monster level prompt|Предупреждение об уровне монстров
show_dps_meter|Show DPS counter|Отображать счетчик урона (DPS)
dps_meter_compress|Compress values|Сокращение значений
dps_meter_reset_combat|Reset outside combat|Сбрасывать вне боя
show_boss_cooldowns|Show Boss Cooldowns|Отображать перезарядку боссов
universal|Universal|Универсальный
enable_gamepad|Enable Controller|Включить геймпад
chat_fade_enable|Enable Chat Fade|Затухание чата
chat|Chat|Чат
fancy_lighting|Fancy Lighting|Улучшенное освещение
separator_thousand|Thousands Separator|Разделитель тысяч
separator_decimal|Decimal Separator|Десятичный разделитель
emote_menu|Emote Menu|Меню жестов
emote|Emote|Жест
choose_emoji|Choose your Emoji!|Выберите эмодзи!
cutscene_skip|Skip Cutscene|Пропустить кат-сцену
in_cutscene|In Cutscene|В кат-сцене
options_reset_all|Are you sure you want to reset all options?|Вы уверены, что хотите сбросить все настройки?
mana_cost|Mana Cost|Расход маны
guild_tab_open|Guild Menu|Меню гильдии
merchant|Merchant|Торговец
zone_level|Zone Level|Уровень зоны
safe_zone|Safe Zone|Безопасная зона
ping_input|Ping|Пинг
cross_platform|Cross-Platform|Кроссплатформенный
||
[relics]||
relics|Relics|Реликвии
relic_replace|Which relic would you like to replace?|Какую реликвию вы хотите заменить?
relic_destroy_confirm|Are you sure you want to destroy this relic?|Вы уверены, что хотите уничтожить эту реликвию?
relic_destroy|Destroy relic|Уничтожить реликвию
||
[class]||
viking|Viking|Викинг
pyromancer|Pyromancer|Пиромант
marksman|Marksman|Стрелок
pirate|Pirate|Пират
nomad|Nomad|Кочевник
redneck|Redneck|Деревенщина
necromancer|Necromancer|Некромант
samurai|Samurai|Самурай
paladin|Paladin|Паладин
amazon|Amazon|Амазонка
demon_slayer|Demon Slayer|Убийца демонов
demonspawn|Demonspawn|Демоническое отродье
stickman_steve|Stickman Steve|Стив Стикман
shaman|Shaman|Шаман
white_mage|White Mage|Белый Маг
marauder|Marauder|Мародер
plague_doctor|Plague Doctor|Чумной доктор
lancer|Shield Lancer|Лансер
jotunn|Jötunn|Ётунн
illusionist|Illusionist|Иллюзионист
exo|Exo|Экзо
butcher|Butcher|Мясник
stormWeaver|Stormweaver|Ткач бури
bard|Bard|Бард
random_class|Random Class|Случайный класс
season|Season|Сезон
seasonal|Seasonal|Сезонный
nonseasonal|Non-Seasonal|Несезонный
solo_self_found|Odyssey|Одиссея
blood_pact|Blood Pact|Кровавый пакт
hardcore_desc|- Hardcore heroes will stay dead when they die and can only play with other hardcore heroes.|- Смерть хардкорных героев окончательна. Они могут играть только с другими хардкорными героями.
season_desc|- Seasonal heroes start fresh and can only play with other seasonal heroes.|- Сезонные герои начинают свой путь с чистого листа и могут играть только с другими сезонными героями.
solo_self_found_desc|- Odyssey heroes can only play solo. Market, trading and mailbox are disabled.|- Герои Одиссеи полагаются только на себя. Торговля, рынок и почта для них закрыты.
blood_pact_desc|- Blood Pact heroes can only play with other members of the associated Blood Pact. Blood Pact heroes can only be played during an active Blood Pact.|- Герои Blood Pact могут играть только с другими участниками своего пакта и только пока Blood Pact активен.
wrathofmevius|Wrath of Mevius|Гнев Мевиуса
slot|Slot|Слот
shop|Shop|Магазин
cosmetic_shop|Cosmetic Shop|Магазин обликов
adventure_journal|Journal|Журнал
level|Level|Ур.
empty|Empty|Пусто
requires_karp|REQUIRES KARP OF DOOM TO PLAY|ДЛЯ ИГРЫ ТРЕБУЕТСЯ KARP OF DOOM
requires_hell|REQUIRES DEPTHS OF HELL TO PLAY|ДЛЯ ИГРЫ ТРЕБУЕТСЯ DEPTHS OF HELL
requires_mevius|REQUIRES WRATH OF MEVIUS TO PLAY|ДЛЯ ИГРЫ ТРЕБУЕТСЯ WRATH OF MEVIUS
requires_amazon|REQUIRES AMAZON PACK TO PLAY|ДЛЯ ИГРЫ ТРЕБУЕТСЯ AMAZON PACK
requires_shaman|REQUIRES SHAMAN PACK TO PLAY|ДЛЯ ИГРЫ ТРЕБУЕТСЯ SHAMAN PACK
requires_marauder|REQUIRES MARAUDER PACK TO PLAY|ДЛЯ ИГРЫ ТРЕБУЕТСЯ MARAUDER PACK
requires_plague_doctor|REQUIRES PLAGUE DOCTOR DLC TO PLAY|ДЛЯ ИГРЫ ТРЕБУЕТСЯ PLAGUE DOCTOR DLC
requires_lancer|REQUIRES LANCER DLC TO PLAY|ДЛЯ ИГРЫ ТРЕБУЕТСЯ LANCER DLC
requires_jotunn|REQUIRES GATES OF VALHALLA DLC TO PLAY|ДЛЯ ИГРЫ ТРЕБУЕТСЯ GATES OF VALHALLA DLC
play|Play|Играть
continue|Continue|Продолжить
rename|Rename|Переименовать
reset_talents|Reset Skills|Сбросить навыки
reset_attributes|Reset Attributes|Сбросить характеристики
reset|Reset|Сброс
delete|Delete|Удалить
whats_your_name|What's your name?|Как вас зовут?
hardcore|Hardcore|Хардкор
softcore|Softcore|Софткор
exclusive|exclusive|эксклюзив
coming_soon|Coming Soon|Скоро
username_validation|Illegal characters have been removed from your input resulting in the following text:|Недопустимые символы были удалены. Итоговое имя:
delete_prompt|Are you sure you want to delete this character? Your character will be deleted permanently!|Вы уверены, что хотите удалить этого персонажа? Это действие необратимо!
delete_failed|Could not delete character. Try again later.|Не удалось удалить персонажа. Попробуйте позже.
talents_prompt|Are you sure you want to reset your Skill Points?|Вы уверены, что хотите сбросить очки навыков?
attributes_prompt|Are you sure you want to reset your Attribute Points?|Вы уверены, что хотите сбросить очки характеристик?
hero_board_changes_prompt|Do you want to save your changes?|Сохранить изменения?
character_customize_buy_prompt|Would you like to purchase this item for|Желаете приобрести этот предмет за
purchase_prompt|Would you like to purchase this item?|Желаете приобрести этот предмет?
||
[online]||
ingame_tab|Ingame|В игре
general_tab|General|Общий
trade_tab|Trade|Торговля
guild_tab|Guild|Гильдия
login|Login|Войти
register|Register|Регистрация
logout|Logout|Выйти
username|Username|Имя пользователя
password|Password|Пароль
remember_username|Remember login|Запомнить логин
retype_password|Re-type password|Повторите пароль
email|E-mail|Электронная почта
forgot_password|Forgot password?|Забыли пароль?
password_too_short|Passwords too short.|Пароль слишком короткий.
password_no_match|Passwords do not match.|Пароли не совпадают.
information_missing|Insufficient information.|Недостаточно данных.
logging_in|Logging in...|Вход...
wrong_password|Wrong password|Неверный пароль
cannot_login|Cannot login to online services.|Не удалось подключиться к онлайн-сервисам.
description|Description|Описание
player_list_guild|Guild Members|Участники гильдии
join_discord|Join Hero Siege Discord server!|Вступайте в наш Discord!
report_bugs|Report bugs|Сообщить об ошибке
players_online|Players Online|Игроков в сети
players|Players|Игроки
create_private_game|Create Game|Создать игру
join_public_game|Find Public Game|Найти открытую игру
join_private_game|Join Game|Присоединиться
show_private_games|Show private games|Показать закрытые игры
public_game_not_found|No public game was found with the current search criteria. Starting a new public game.|Открытых игр по вашему запросу не найдено. Создание новой игры.

leaderboards|Leaderboards|Таблица лидеров
chaos_tower_highscore|Chaos Tower|Башня Хаоса
chaos_tower_debuff_title|Choose Your Personal Hell|Выберите свой личный ад
server_first_highscore|Server First Level 100|Сервер Первый уровень 100
server_first_button_text|Server First Level 100|Сервер Первый уровень 100
hero_selection|Hero Selection|Выбрать героя
developer|Developer|Разработчик
moderator|Moderator|Модератор
admin|Admin|Администратор
player|Player|Игрок
hero_level|Hero level|Уровень героя
; wormhole|Wormhole ; in zones|Червоточина; в зонах
expansion|Expansion|Дополнение
ready|Ready|Готов
refresh|Refresh|Обновить
enter|Enter|Войти
wep_very_fast|Very Fast|Очень быстрая
wep_fast|Fast|Быстрая
wep_moderate|Moderate|Средняя
wep_slow|Slow|Медленная
wep_very_slow|Very Slow|Очень медленная
write_message|Write|Написать
invalid_code|No internet connection or invalid code.|Нет подключения к Интернету или неверный код.
server_down|No internet connection or server down.|Нет подключения к Интернету или сервер недоступен.
merchant_busy|Merchant is busy.|Торговец занят.
game_invite_sent|Game invite sent.|Приглашение в игру отправлено.
game_invite_must_be_ingame|Must be in game for game invites.|Чтобы отправлять приглашения, вы должны быть в игре.
hs_plus_cancel_confirm|Are you sure you want to cancel your Hero Siege Plus subscription?|Вы уверены, что хотите отменить подписку Hero Siege Plus?
edit|Edit|Править
report|Report|Пожаловаться
report_send_success|Report sent succesfully|Жалоба успешно отправлена
unblock|Unblock|Разблокировать
show_player_messages|Show player messages|Показывать сообщения игроков
show_item_drop_messages|Show item drop messages|Лог выпадения предметов
start|Start|Начать
submit|Submit|Подтвердить
members|Members|Участники
invites|Invites|Приглашения
pending_invites|Pending invites|Ожидающие приглашения
proxy_prompt_small|Frequent timeouts detected. You can try PAS Proxy to see if it helps with the connection issues.|Обнаружены частые задержки соединения. Вы можете попробовать PAS Proxy, чтобы решить проблемы с подключением.
proxy_prompt_large|By enabling PAS Proxy your in-game networking traffic is tunneled through our own Proxy Server. This can help in cases where your network communicates poorly with our Cloud Based servers. Please note that the connection might be slower than normal and should not be used unless you encounter frequent issues with a direct connection.|При включении PAS Proxy ваш игровой трафик будет проходить через наш собственный прокси-сервер. Это может помочь, если сеть плохо взаимодействует с нашими облачными серверами. Обратите внимание: соединение может стать медленнее. Не используйте эту опцию без необходимости.
proxy_prompt_disable|Frequent timeouts detected. PAS Proxy is enabled. If the problem persists you can try disabling the proxy.|Обнаружены частые задержки. PAS Proxy включен. Если проблема не исчезла, попробуйте отключить прокси-сервер.
report_user|Report User|Пожаловаться на игрока
||
[GUILDS]||
guilds|Guilds|Гильдии
guild_name|Guild name|Название гильдии
guild_tag|Guild tag|Тег гильдии
guild_desc|Guild Description|Описание гильдии
guild_permission_no_access|No access|Нет доступа
guild_permission_view_only|View only|Только просмотр
guild_permission_add_items|Add items|Добавление предметов
guild_permission_full_access|Full access|Полный доступ
guild_tab_display|Display|Вид
guild_tab_perks|Perks|Усиления
guild_tab_settings|Settings|Настройки
guild_officer_color|Officer color|Цвет офицера
guild_member_color|Member color|Цвет участника
guild_officer_name|Officer name|Звание офицера
guild_member_name|Member name|Звание участника
guild_edit_description|Edit Description|Изменить описание
guild_leave|Leave guild|Покинуть гильдию
guild_invite_member|Invite member|Пригласить участника
guild_apply|Apply|Подать заявку
guild_stash_level_requirement_prompt|Guild Stash is unlocked at guild level 20!|Тайник гильдии открывается на 20-м уровне!
guild_stash_guildless_prompt|You seem guildless. I've got nothing for you!|Похоже, Вы не состоите в гильдии. Мне нечего вам предложить!
guild_stash_in_use|Someone else is currently accessing Guild Stash.|Кто-то другой уже открыл тайник гильдии.
guild_stash_add_tab|Add Tab|Новая вкладка
guild_stash_add_tab_prompt|Are you sure you want to consume a guild stash tab token and add a tab to this guild?|Вы уверены, что хотите использовать жетон и добавить вкладку в тайник гильдии?
blood_pact_stash_in_use|Someone else is currently using the Pact Stash.|Кто-то другой уже использует тайник Blood Pact.
red|Red|Красный
green|Green|Зеленый
blue|Blue|Синий
no_guild|You are not in a guild. Would you like to create one?|Вы не состоите в гильдии. Желаете создать свою?
resign|Resign|Сложить полномочия
create|Create|Создать
yes|Yes|Да
no|No|Нет
confirm|Confirm|Подтвердить
cancel|Cancel|Отмена
retry|Retry|Повторить попытку
guild_created|Guild created successfully.|Гильдия успешно создана.
join|Join|Присоединиться
leave|Leave|Покинуть
request_trade|has sent a trade request|предлагает обмен
request_guild|has sent a request to join guild|хочет вступить в гильдию
request_trade_sent|Pending trade request with|Ожидание обмена с:
request_guild_sent|Pending guild invite with|Приглашение в гильдию отправлено:
friend_list|Friend List|Список друзей
friend_enter_id|Enter friend id:|Введите ID друга:
friend_add|Add Friend|Добавить в друзья
friend_remove|Remove Friend|Удалить из друзей
invite|Invite|Пригласить
guild_link_warning|Careful! This is a third party link that is NOT associated with Panic Art Studios, but put here by your guild manager. Are you sure you wish to proceed to |Осторожно! Это внешняя ссылка, не связанная с Panic Art Studios. Она была размещена главой вашей гильдии. Вы уверены, что хотите перейти по адресу: 
||
[shop]||
clothing|Clothing|Одежда
mercenary|Mercenary|Наемник
active|Active|Активные
passive|Passive|Пассивные
name_color|Name color|Цвет имени
exit_shop|Exit shop|Выйти из магазина
melee|Melee|Ближний бой
ranged|Ranged|Дальний бой
shield|Shield|Щит
name|Name|Имя
use|use|Использовать
portrait|Portrait|Портрет
hud|Interface|Интерфейс
not_enough_rubies|not enough rubies|недостаточно рубинов
not_enough_crystals|not enough crystals|недостаточно кристаллов
not_enough_gold_need|Not enough gold. You need|Недостаточно золота. Вам требуется:
not_enough_gold|not enough gold|недостаточно золота
coins_to_reset_talents|coins to reset talents.|монет для сброса талантов.
coins_to_rename|coins to rename.|монет для смены имени.
coins_to_confirm|coins to confirm changes.|монет для подтверждения изменений. 
saving_shop|Saving shop...|Сохранение товаров...
unlocked|Unlocked|Разблокировано
unlock|Unlock|Разблокировать
lock|Lock|Заблокировать
buy_key|Satanic Key|Сатанинский ключ
requires_hero_level|Requires Hero Level|Требуется уровень героя
halloween|Halloween|Хэллоуин
christmas|Christmas|Рождество
reward|Reward|Награда
progress|Progress|Прогресс
quest_objective|Quest objective|Цель задания
easter_egg|Shh... It's a secret.|Тсс... Это секрет.
featured|Featured|Избранное
featured_cosmetics|Featured Cosmetics|Легендарные облики
accessories|Accessories|Аксессуары
items|Items|Предметы
gems|Gems|Самоцветы
locked|Locked|Заблокировано
deactivate|Deactivate|Деактивировать
purchase|Purchase|Купить
hat|Hat|Головной убор 
hats|Hats|Головные уборы
basic|Basic|Базовый
anniversary|Anniversary|Годовщина
skins|Skins|Скины
hero|Hero|Герой
companions|Companions|Компаньоны
