[npc]|en|ru
prospector_npc|Prospectron RX9000|Проспектрон RX9000
||
thank_you|Thank you.|Спасибо.
here_to_help|I'm here to help.|Я здесь, чтобы помочь.
goodbye|Goodbye!|До свидания!
yes_please|Yes please!|Да, пожалуйста!
no_thanks|No thanks.|Нет, спасибо.
dialog_next|Next|Далее
reset_relics|Reset all relics.|Сбросить все реликвии.
buy|Buy|Купить
buy_items|Buy Items|Купить товары
sell_items|Buy/Sell|Купить/Продать
reset_wormhole_level|Reset wormhole level.|Сбросить уровень червоточины.
||
kukkonen|My name is landlord Kukkonen. I am the mayor of Inoya. Hope you have a pleasant stay, noble hero!|Меня зовут староста Кукконен. Я мэр Инойи. Надеюсь, тебе здесь понравится, благородный герой!
asgar|I am Asgar, the commander of Danethorpe. We are here to watch your back, hero!|Я Асгар, командир Дейнторпа. Мы прикроем твою спину, герой!
afsin|Welcome! I am Afsin, the eldest warrior of Mos'Arathim. We are in need of your strength!|Добро пожаловать! Я Афсин, старейший воин Мос'Аратима. Нам нужна твоя сила!
kodatin|Greetings stranger! Welcome to Dhorn Farum! You may call me Kodatin.|Приветствую, незнакомец! Добро пожаловать в Дорн Фарум! Можешь звать меня Кодатин.
nobunaga|Welcome to Shujo Retreat! Its time our clan takes back the control of Karponia!|Добро пожаловать в Убежище Сюдзё! Пришло время нашему клану вернуть контроль над Карпонией!
abaddon|Hello stranger. Welcome to Dawn's Chapel, may God's grace be upon you.|Здравствуй, путник. Добро пожаловать в Часовню Рассвета. Да пребудет с тобой божья благодать.
kujala|Time of great despair is upon us...|Настали времена великого отчаяния...
sarcaster_club|Hello Hero! My name is Sarcaster and I am the towns coffee addict! Would you like to join my Coffee Club?|Привет, Герой! Меня зовут Саркастер, и я местный кофеман! Хочешь вступить в мой Кофейный клуб?
sarcaster|Hello Hero! My name is Sarcaster and I am the towns coffee addict!|Привет, Герой! Меня зовут Саркастер, и я местный кофеман!
garnor|Damien's minions grow stronger every day. Use the combat dummies to maintain your speed and power!|Приспешники Дэмиена становятся сильнее с каждым днем. Используй манекены, чтобы тренировать скорость и силу!
join_coffee_club|Join Coffee Club.|Вступить в Кофейный клуб.
jack_the_ripper|Greetings! What can I do for you?|Приветствую! Чем я могу тебе помочь?
gar_nor_test_dps|Test damage per second.|Проверить урон в секунду (DPS).
gar_nor_lock_exp|Lock / Unlock experience.|Блокировать / Разблокировать опыт.
um|I can show you the future if you have the key... Would you like to see?|Я могу показать тебе будущее, если у тебя есть ключ... Хочешь взглянуть?
dr_tinker_dink|Would you like to open a wormhole?|Хочешь открыть червоточину?
wormhole_reset|Are you sure you want to reset your wormhole level?|Ты уверен, что хочешь сбросить уровень червоточины?
relic_reset|Are you sure you want to reset your relics?|Ты уверен, что хочешь сбросить свои реликвии?
requires_max_level_inferno|Access requires level 80+ & Inferno difficulty|Требуется уровень 80+ и сложность Пекло
requires_max_level|Requires level 100|Требуется уровень 100
tinker_chappel|This place is not as holy as it seems...|Это место не такое святое, как кажется...
tinker_normal|Heya! Come back later and I'll show you my latest invention...|Хей! Возвращайся позже, и я покажу тебе свое последнее изобретение...
um_regular|Open your mind and see the universe...|Раскрой свой разум и узри вселенную...
yogvan|Would ye like to learn the noble art of mining?|Хочешь обучиться благородному искусству горного дела?
yogvan_meet|Oi! Get back t' me when you've gotten familiar with the town and I'll show ye how to mine like a dwarf!|Эй! Возвращайся, когда освоишься в городе, и я покажу тебе, как добывать руду по-гномьи!
yogvan_learn|Ye still got a lot ta learn! Get back when you've gotten yer hands dirty.|Тебе еще многому надо научиться! Возвращайся, когда замараешь руки.
yogvan_got_it|Ye've got it now... See if you can get dat lad Torstein ta help ye with yer ores!|Вот теперь другое дело... Посмотрим, сможет ли этот парень Торстейн помочь тебе с рудой!
kleiton_learn|Come back to me once you have prospected the ores!|Возвращайся, когда разведаешь руду!
kleiton_got_it|Great! Now you know how to prospect and get materials that you can use to craft shiny things!|Отлично! Теперь ты знаешь, как искать материалы для создания блестящих вещиц!
kleiton_quest|Hey! You look like you'd appreciate some quality jewels. How about I teach you how to make some?|Эй! Похоже, ты ценишь качественные драгоценности. Давай я научу тебя их делать?
kleiton_greet|If I socket this here, I can... Oh, hello!|Если вставить это сюда, то... Ой, привет!
||
tristan_npc|Tristan Lee-Johnson|Тристан Ли-Джонсон
tristan_quip_0|Greetings Sir!|Приветствую вас, сэр!
tristan_quip_1|A splendid day isn't it?|Чудесный день, не правда ли?
tristan_quip_2|I'd kill for a cup of Tee right now!|Я бы сейчас убил за чашечку чая!
tristan_quip_3|What are you looking for Sir?|Что вы ищете, сэр?
tristan_quip_4|Damn I really need to polish my monocle..|Черт, мне нужно протереть монокль...
tristan_quip_5|Oof...|Уф...
||
portal_eternal_battlefield|Are you sure you want to enter Eternal Battlefield for|Вы уверены, что хотите войти на Вечное поле битвы за
ruby_entrance|As the guardian of Ruby Gardens, I grant passage to those who have proven their worth by finding a rare [c_red]Ruby Key[c_reset] usually held by treasure gobblers. Do you wish to enter?|Как страж Рубиновых садов, я пропускаю лишь тех, кто доказал свою доблесть, найдя редкий [c_red]Рубиновый ключ[c_reset], который обычно хранят гоблины-барахольщики. Желаешь войти?
open_ruby|Open Ruby Gardens|Открыть Рубиновые сады
asheen|We need to use the Dimensional Shards to open this gate and kill the demon inside...|Нужно использовать Пространственные осколки, чтобы открыть эти врата и убить демона внутри...
open_shadow|Open the Portal for (40) |Открыть портал за (40)
veras|Whaddaya buyin'?|Что покупаем?
traveling_merchant_dialog|Take a look at my wares!|Взгляни на мои товары!
kukkonen_grimbone|I've heard tales of your exploits in Valhalla. Legend says, there is a mighty beast in the deepest depths of Niflhel, with scythes as hands as large as a man. They would make a mighty fine trophy... I'll offer a round of my best moonshine for everyone in town if I could get my hands on those scythes!|Я слышал о твоих подвигах в Вальхалле. Легенда гласит, что в глубинах Нифльхеля обитает могучий зверь с косами вместо рук. Из них вышел бы отличный трофей... Я выставлю выпивку всему городу, если получу эти косы!
kukkonen_grimbone_buff|Wow, would you look at those scythes! Here's your moonshine, as promised!|Ого, только взгляните на эти косы! Вот твой самогон, как я и обещал!
||
chaos_tower_master_1|Welcome Adventurer, the tower awaits those who are bold enough to enter.|Добро пожаловать, искатель приключений. Башня ждет смельчаков.
chaos_tower_master_2|The tower is a graveyard for some, but a treasure trove for others.|Для кого-то башня — могила, а для кого-то — сокровищница.
chaos_tower_master_3|I'll stay back and guard the entrance, you go ahead...|Я останусь охранять вход, а ты иди вперед...
chaos_tower_open|Let me in!|Впусти меня!
chaos_towers_completed|Chaos Towers completed:|Завершено Башен Хаоса:
chaos_tower_reward|Claim reward.|Получить награду.
chaos_tower_prompt|Would you like to claim your reward and reset your progress?|Хотите забрать награду и сбросить прогресс?
chaos_tower_no_reward|Here you g- Wait, you haven't cleared enough towers. Get out of here!|Вот, держ... Постой, ты прошел недостаточно башен. Уходи отсюда!
chaos_tower_opened_1|Take the stairs straight ahead.|Поднимайся по лестнице прямо.
chaos_tower_opened_2|The way is open.|Путь открыт.
chaos_tower_opened_3|Are you stupid?|Ты что, дурак?
||
dialog_hellShadowRealm|WANTED: Shadow Reaper. Collect dimensional shards and enter the gate within the shadow realm.|РАЗЫСКИВАЕТСЯ: Shadow Reaper. Соберите пространственные осколки и войдите во врата в Теневом царстве.
dialog_hellShadowRealm_end|Great job hero! Here is your reward for your endevours!|Отличная работа, герой! Вот награда за твои старания!
dialog_hellBattleField|WANTED: Sung Lee. Collect battle fragments and enter the eternal battle field.|РАЗЫСКИВАЕТСЯ: Sung Lee. Соберите фрагменты битвы и войдите на Вечное поле битвы.
dialog_hellBattleField_end|Bless you hero! Take your reward!|Благослови тебя, герой! Возьми свою награду!
dialog_hellChaosTower|WANTED: Chaos Tower. Enter a chaos tower and purge it from the undead.|РАЗЫСКИВАЕТСЯ: Chaos Tower. Войдите в башню и очистите ее от нежити.
dialog_hellChaosTower_end|Well done hero, the lands are now a little safer! Take your reward!|Молодец, герой, теперь земли стали немного безопаснее! Возьми свою награду!
dialog_hellFallenInoya|WANTED: Damien. Collect parts from Act I-VI bosses, craft a key of terror and enter fallen inoya|РАЗЫСКИВАЕТСЯ: Damien. Соберите части с боссов Актов I-VI, создайте Ключ Ужаса и войдите в Падшую Инойю.
dialog_hellFallenInoya_end|That one was a nightmare wasnt it? Here is your reward noble hero!|Это был настоящий кошмар, не так ли? Вот твоя награда, благородный герой!
dialog_hellCodex|Find a codex of eternity, use it and clear its undead infested zone!|Найдите Кодекс Вечности, используйте его и зачистите зону от нежити!
dialog_hellCodex_end|Fine purging hero! Here is your well earned reward!|Отличная зачистка, герой! Вот твоя заслуженная награда!
|| Я должен собрать камешки.
ct_penguin_1|Oh, you found me! Wait, I can TALK!?|О, ты нашел меня! Погоди, я умею ГОВОРИТЬ?!
ct_penguin_2|I must collect pebbles, I have no time for chit-chat!|Мне нужно собирать камешки, нет времени на болтовню!
ct_penguin_3|Kraah|Краах
ct_penguin_4|Rrrrreeeeee|Рррррииии
ct_penguin_5|RRRreee Kraaaah|РРРриии Краааа
ct_penguin_6|Cacaaaaaaa|Кааааааааааааа
ct_um_dying_1|This... Place... Is unholy... Cursed... Find Kuk... konen...|Это... место... нечестивое... проклятое... Найди Кук... конена...
ct_um_dying_2|This is not the future... I foresaw... Find Kukkonen...|Это не то будущее... которое я предвидел... Найди Кукконена...
ct_um_dying_3|Our timeline is finished... You must find the way back to Kukkonen...|Нашей временной линии конец... Ты должен найти путь назад к Кукконену...
ct_kukkonen_1|Help me hero! I must return to town at once!|Помоги мне, герой! Я должен немедленно вернуться в город!
ct_kukkonen_2|Thank you for saving me hero... Be careful though, something evil lies ahead.|Спасибо, что спас меня, герой... Но будь осторожен, впереди скрывается зло.
ct_god_1|Tarethiel could use some help. Don't look at me, I don't want to go down there.|Таретиэлю не помешала бы помощь. Не смотри на меня так, я не хочу туда спускаться.
ct_god_2|The world is full of evil beings... If only I created a Hero to slay them... You can get to work now, goodbye.|Мир полон злобных тварей... Вот если бы я создал Героя, чтобы перебить их всех... А теперь за работу, до свидания.
ct_god_3|I am extremely busy can you not see? It isn't easy being in charge of Heaven.|Я ужасно занят, разве не видно? Нелегко отвечать за Небеса.
ct_god_give_item|Alright, I have something for you here, you're welcome!|Ладно, у меня тут есть кое-что для тебя. Не благодари!
ct_elias_1|Go away! You're killing my flow...|Уйди! Ты сбиваешь мне ритм...
ct_jussi_1|Don't do as I do, do as I say.|Не делай как я, делай как я говорю.
bd_jussi_1|Yes, what? Can't I even have one smoke break in peace?|Да, чего тебе? Можно мне хоть раз спокойно перекурить?
ct_mika_1|Just making art, trying not to panic.|Просто творю искусство, стараясь не паниковать.
ct_anton_1|What is the worth of driving a car if it is not a Mercedes ?|Какой смысл водить машину, если это не Мерседес?
ct_antti_1|Only in flame will the secret breathe, Where paths once easy now seethe. Walk backward, feel the scorch. Find fruit beneath the blazing torch.|Лишь в пламени секрет очнется, где легкий путь теперь кипит. Иди назад, почувствуй жар. Найди плод под пылающим факелом.
ct_rexi_1|Want to hear my masterpiece?|Хочешь услышать мой шедевр?
ct_rexi_2|I shall play it anyway!|Я все равно его сыграю!
ct_tomi_1|"You just lost ""The Game"", [heroname] ;)"|Ты только что проиграл в «Игру», [heroname] ;)
ct_marcio_1|Do not avoid not making the bell not ring.|Не избегай того, чтобы не заставить колокол не звонить.
ct_alias_1|What am I doing here? Oh god... this is my worst nightmare. They put me inside a game!|Что я здесь делаю? О боже... это мой худший кошмар. Они засунули меня в игру!
ct_severus_1|Developr, developer... Gaame makker game makker, [heroname] lol|Разраб, разработчик... Игроооодел, игрооодел, [heroname] лол
rng_shrine|Welcome to the altar of the RNG, brave hero. Here you can pray to me, and I will give you my blessing.|Добро пожаловать к алтарю Великого Рандома, храбрый герой. Здесь ты можешь помолиться мне, и я дарую тебе свое благословение.
rng_shrine_2|I shall bless you anyway. It can’t hurt, right?|Я благословлю тебя в любом случае. Хуже не будет, верно?
st_peter_npc|St. Peter|Св. Петр
st_peter_1|The fallen angel's keys... Would you like to see the splendor of Heaven?|Ключи падшего ангела... Желаешь узреть великолепие Небес?
st_peter_no_key|I am sorry, I can't let you access Heaven without an [c_yellow]Angelic Key[c_reset]. They are very rare, but fallen angels might carry them.|Мне жаль, я не могу пустить тебя на Небеса без [c_yellow]Ангельского ключа[c_reset]. Они очень редки, но их можно найти у падших ангелов.
st_peter_ascend|Would you like to ascend?|Желаешь вознестись?
what_is_angelic_realm|[sprite,UI_Question_spr] What is the Angelic Realm?|[sprite,UI_Question_spr] Что такое Ангельское царство?
wormhole_in_progress|A Wormhole is currently in progress.|Испытание Червоточины уже запущено.
challenge_dungeon_in_progress|A Challenge Dungeon is currently in progress.|Испытание Подземелья уже запущено.
ruby_garden_in_progress|Ruby Gardens is currently in progress.|Испытание Рубиновых садов уже запущено.
daily_quest_next|Next quest will be available in|Следующее задание будет доступно через
chaos_tower_highscore_board|Highscores|Таблица лидеров
||
dialog_garnor|Magicians, engineers? BWAH! All you need is a huge weapon and strong arms! Test your might against these training dummies!|Маги, инженеры? ТЬФУ! Все, что тебе нужно — это огромное оружие и сильные руки! Испытай свою мощь на этих тренировочных манекенах!
dialog_tinkerdink|MAGIC?! HAHA! I create magic with science! Just come back later and you'll see! Hihihaha!|МАГИЯ?! ХА-ХА! Я создаю магию с помощью науки! Возвращайся позже и увидишь! Хи-хи-ха!
dialog_um|Naked eye can't see everything. Sadly, I've seen too much. Are you ready to see our future?|Невооруженным глазом всего не увидишь. Увы, я видел слишком много. Ты готов увидеть наше будущее?
dialog_torstein|Hey there! I can buy excess items off you or help you with crafting new gear.|Привет! Я могу купить у тебя лишнее барахло или помочь с крафтом нового снаряжения.
dialog_haldor|Hail the Allfather!|Слава Всеотцу!
||
[Sarcaster]||
dialog_coffeeBeans|Could you retrieve my coffee beans, [heroname]? I've lost them somewhere in the Outskirts of Inoya. I really need to make coffee... hrrrr.....|Не мог бы ты вернуть мои кофейные зерна, [heroname]? Я потерял их где-то на окраинах Инойи. Мне очень нужно сварить кофе... хрррр.....
dialog_coffeeBeans_end|My precious coffee beans!! Thank you!|Мои прелестные кофейные зерна!! Спасибо!
dialog_coffeeBricks|My house collapsed in the storm last week, could you help me collect some bricks from the Fields of Battle? I'd really appreciate it!|Мой дом рухнул во время бури на прошлой неделе. Не мог бы ты собрать немного кирпичей на Полях Битвы? Я буду очень признателен!
dialog_coffeeBricks_end|Marvellous! Finally my house is back intact!|Чудесно! Наконец-то мой дом снова цел!
dialog_coffeeHotWater|I've run out of water and I'm starting to lose my mind! Could you bring me some from the Pumpkin Patch? I have something really cool for you in return!!|У меня закончилась вода, и я начинаю сходить с ума! Принеси мне немного с Тыквенной грядки? Взамен я дам тебе кое-что действительно крутое!!
dialog_coffeeHotWater_end|Finally I can brew my coffee and keep the house warm! |Наконец-то я смогу сварить кофе и согреть дом!
||
[Normal Main Quest]||
dialog_mainLookAround|I'm here to help our heroes. Come back to me when you've grown stronger and I can help you with some gear.|Я здесь, чтобы помогать нашим героям. Возвращайся ко мне, когда станешь сильнее, и я помогу тебе со снаряжением.
dialog_mainLookAround_end||
dialog_mainPurgingTheLands|This used to be peaceful forest, but something is corrupting it. Bring me some body parts for research.|Раньше это был мирный лес, но что-то его оскверняет. Принеси мне части тел монстров для исследований.
dialog_mainPurgingTheLands_end|Mathematical! I will make good use of these..|Потрясающе! Я найду им достойное применение...
dialog_mainShocker|Magister Kujala is wrong! This is no magic act. I believe creatures of the forest just need some... Shock therapy hihihahahohoo!|Магистр Куджала ошибается! Это никакая не магия. Я считаю, что лесным тварям просто нужна... шоковая терапия! Хи-хи-ха-ха-хо-хо!
dialog_mainShocker_end|Well done! The smell of ash.. Ahh!!|Отлично! Запах пепла... О-о-о!!
dialog_mainGurag|Seems like this 'shock therapy' didn't work too well. My research tells me, Gurag is the one causing problems in the forest.|Похоже, «шоковая терапия» сработала не так уж хорошо. Мои исследования указывают, что источник бед в лесу — Гураг.
dialog_mainGurag_end|The end of Gurag´s reign is a big win for Tarethiel! May this artifact help you on your path!|Конец правления Гурага — великая победа для Таретиэля! Пусть этот артефакт поможет тебе в пути!
dialog_mainEnchanters|I feel like Gurag isn't alone in this madness. Even those greedy goblins are helping their masters.|Мне кажется, Гураг не одинок в этом безумии. Даже эти жадные гоблины помогают своим хозяевам.
dialog_mainEnchanters_end|We can finally restore our merchant activity, may the allfather bless you on your journey!|Мы наконец-то можем возобновить торговлю. Да благословит тебя Всеотец в твоем путешествии!
dialog_mainReaper|This is more serious than I thought. We have to bring death itself down!|Это серьезнее, чем я думал. Мы должны сразить саму смерть!
dialog_mainReaper_end|Your courage shall not be forgotten! Take this as a token of our appreciation.|Твоя храбрость не будет забыта! Прими это в знак нашей признательности.
dialog_mainCleanse|Somebody needs to stop this madness. Leave no survivors!|Кто-то должен остановить это безумие. Не оставляй никого в живых!
dialog_mainCleanse_end|The lands are finally safer to travel, we are grateful for your aid!|Путешествовать по землям наконец-то стало безопаснее, мы благодарны за помощь!
dialog_mainAnubis|Anubis has used his powers against us, you know what to do!|Анубис обратил свои силы против нас. Ты знаешь, что делать!
dialog_mainAnubis_end|Are you the hero who saved Mos'Arathim?|Ты тот самый герой, что спас Мос'Аратим?
dialog_mainDungeonMine|There is an Old Copper Mine nearby which has since been taken over by evil forces. Could you clear it from these abominations? The mine should still be open, but be quick, things might change when the creatures grow stronger.|Неподалеку есть старая медная шахта, захваченная силами зла. Не мог бы ты очистить ее от этих мерзостей? Шахта должна быть открыта, но поторопись, пока твари не стали сильнее.
dialog_mainDungeonMine_end|Back so soon?|Уже вернулся?
dialog_mainHighlandMines|We have forgotten some equipment within the highland caves during the evacuation. Could you collect and deliver them to Thastun within the Corrupted Caves?|Мы забыли кое-какое оборудование в высокогорных пещерах во время эвакуации. Не мог бы ты собрать его и доставить Тастуну в Оскверненные пещеры?
dialog_mainHighlandMines_end|Great job traveler! Thank you for returning our precious mining gear!|Отличная работа, путник! Спасибо, что вернул наше драгоценное шахтерское снаряжение!
dialog_mainSlayer|You've done well so far, but we must be fast to stop their spawning!|Ты отлично справлялся, но нужно спешить, чтобы остановить их появление!
dialog_mainSlayer_end|Marvellous! Keeping these pests out of our way is a constant nuisance! |Чудесно! Избавляться от этих паразитов — вечная головная боль!
dialog_mainDemonsLair|Find and slay the Damned Commander and all of his minions roaming these unholy lands!|Найди и убей Проклятого командира и всех его приспешников, бродящих по этим нечестивым землям!
dialog_mainDemonsLair_end|We couldn´t have done this without you, may the allfather bless you!|Мы бы не справились без тебя. Да благословит тебя Всеотец!
dialog_mainDamien|I should have known. Damien is the one pulling strings. Stop him and we have a chance to prevent the apocalypse!|Я должен был догадаться. Это Дэмиен дергает за ниточки. Останови его, и у нас появится шанс предотвратить апокалипсис!
dialog_mainDamien_end|The son of Satan has fallen, bless you hero! Here is our gift to you!|Сын Сатаны пал, благослови тебя Господь, герой! Вот наш дар тебе!
dialog_mainPrisoners|Some of the citizens were captured. Help them to get out of there!|Некоторые жители были захвачены в плен. Помоги им выбраться оттуда!
dialog_mainPrisoners_end|Your noble act will never be forgotten traveler! May the allfather bless your path!|Твой благородный поступок никогда не будет забыт, путник! Да благословит Всеотец твой путь!
dialog_mainAct2Kill|You look like you can handle yourself. Would you mind thinning out some demons out of town? There's a reward in for you.|Похоже, ты умеешь постоять за себя. Не мог бы ты проредить ряды демонов за городом? Награда за мной.
dialog_mainAct2Kill_end|Did you give those monsters what they deserve?|Ну что, задал этим монстрам жару?
dialog_mainDepthsHighway|Take this book and shut down the demonic portals within the cathedral!|Возьми эту книгу и закрой демонические порталы в соборе!
dialog_mainDepthsHighway_end|May the allfather bless you traveler!|Да благословит тебя Всеотец, путник!
dialog_mainWrathMevius|We need to put an end to the interference to the rift. Find the way into the sub concious mind and slay Mevius!|Мы должны положить конец вмешательству в разлом. Найди путь в подсознание и убей Мевиуса!
dialog_mainWrathMevius_end|Wonderful! The citizen of Tarethiel are really thankful for your help! Here is something for your troubles!|Замечательно! Жители Таретиэля искренне благодарны за помощь! Вот кое-что за твои труды!
dialog_valhallaPortal|Here you are! I was looking for you! The fall of Mevius has caused a major disturbance within Tarethiel.. The ancient portal in our town has been activated by some dark forces, go take a look but be careful!|Вот ты где! Я искал тебя! Падение Мевиуса вызвало сильные волнения в Таретиэле... Древний портал в нашем городе был активирован темными силами. Взгляни, что там, но будь осторожен!
dialog_valhallaPortal_end|What.. is this place?? Mevius is right there!! Aaaargh!|Что... это за место?? Мевиус прямо там!! Ааааргх!
dialog_valhallaWelcome_01|Heil! You make quite an entrance my friend! You must be seeking the legendary halls of Valhalla, just like me.|Хайль! Эффектное появление, друг мой! Ты, должно быть, ищешь легендарные чертоги Вальхаллы, как и я.
dialog_valhallaWelcome_02|There is just one teensy tiny problem, the gate is locked for some reason or the other. However, I've heard there's an actual Valkyrie in the outskirts who carries a key. Will you join me to find her and see if she's willing to let us in?|Есть лишь одна крохотная проблема: врата почему-то заперты. Однако я слышал, что на окраинах есть настоящая Валькирия, у которой хранится ключ. Поможешь мне найти ее и узнать, впустит ли она нас?
dialog_valhallaWelcome_end|Phew! That was... Quite a hike...|Уф! Ну и... прогулочка...
dialog_valhallaValkyrie|Let me catch my breath real quick, you go on ahead and see if you can find that Valkyrie!|Дай мне перевести дух, а ты иди вперед и попробуй найти эту Валькирию!
dialog_valhallaGates_01|[font_combat][shake_letter][c_red]FOOLISH MORTAL!|[font_combat][shake_letter][c_red]ГЛУПЫЙ СМЕРТНЫЙ!
dialog_valhallaGates_02|Know that it was you who freed me from my prison.[pause,15] [pause,0][nl]As I have taken the form of [c_lime]Odin[c_reset], I shall grant you the pleasure of seeing your own afterlife in ruins before your ultimate demise.|Знай же, что именно ты освободил меня из заточения.[pause,15] [pause,0][nl]Приняв облик [c_lime]Одина[c_reset], я дарую тебе удовольствие узреть руины собственной загробной жизни перед твоей окончательной гибелью.
dialog_valhallaGates_03|Everything you've ever loved will be obliterated as the prophecy unfolds[pause,15]...|Все, что ты когда-либо любил, будет уничтожено, когда исполнится пророчество...
dialog_valhallaDenied|Hey, where did you come from?|Эй, откуда ты взялся?
dialog_valhallaPeace_01|From Valhalla you say? You must be really strong and brave then! As this is our last stop before finally arriving to Helheim and eternal peace, I have to ask if you'd be able to find my sons toy bear on our trail. He would be devastated if it didn't accompany him 'till the end...|Из Вальхаллы, говоришь? Значит, ты очень силен и храбр! Поскольку это наша последняя остановка перед Хельхеймом и вечным покоем, я прошу тебя найти игрушечного медведя моего сына. Он будет раздавлен, если мишка не пойдет с ним до самого конца...
dialog_valhallaPeace_02|Thank you hero! Now we may all rest in peace.|Спасибо, герой! Теперь мы все можем покоиться с миром.
dialog_valhallaPeace_03|I have denied Valhalla from you, as you shall deny Helheim from these filthy pests.[pause,15] [pause,0][nl]You are only human, your mind will break and your body will follow.[pause,15] |Я закрыл для тебя Вальхаллу, так же как ты закроешь Хельхейм для этих грязных паразитов.[pause,15] [pause,0][nl]Ты всего лишь человек. Твой разум сломается, а следом откажет и тело.[pause,15]
dialog_valhallaDenied_purged|Where am I? Who am I?|Где я? Кто я?
